code,concept
http://vocab.getty.edu/aat/300004590,kapellen (ruimten of constructies)
http://vocab.getty.edu/aat/300003625,kerktorens
http://vocab.getty.edu/aat/300007466,kerken
http://vocab.getty.edu/aat/300000641,kloosters (gebouwde complexen)

