feature_code
A.ADM2
A.ADM2H
A.ADM1
A.PCLI
H.PND
H.CHNM
H.LK
H.CNL
H.FLTT
H.MRSH
H.LKS
H.STM
H.STMD
H.STMC
H.HBR
H.STMX
H.CHN
H.DCKB
H.POOL
L.LCTY
L.PRK
L.RESN
L.RGN
L.AREA
L.AMUS
L.MVA
L.INDS
P.PPL
P.PPLX
P.PPLL
P.PPLA
P.PPLA2
P.PPLS
R.TRL
R.ST
R.RYD
S.EST
S.CSTL
S.FRM
S.ML
S.BDG
S.RUIN
S.FT
S.RSTN
S.PS
S.FY
S.LOCK
S.AIRP
S.HTL
S.TOWR
S.BLDG
S.HSTS
S.CH
S.PRN
S.MUS
S.BUSTN
S.FCL
S.MLSW
S.STDM
S.MALL
S.THTR
S.PKLT
S.MLWND
S.GATE
S.SQR
S.SNTR
S.BRKS
S.MSTY
S.MFGB
S.SHRN
S.UNIV
S.CTRR
S.BUSTP
S.SWT
S.CMTY
S.SCH
S.OBPT
S.AGRF
S.MFG
S.HSE
S.MNMT
S.AIRQ
S.BLDO
T.PLDR
T.DUNE
T.HLL
T.HLLS
T.PT
V.HTH
V.FRST
