code,old_concept,thesaurus,concept,AAT ID,status
dt,Definitieve Titel,Digipolis Thesauri\Titel Type\,published titles,300417206,production
ft,Formele Titel,Digipolis Thesauri\Titel Type\,incipits,300055029,production
in,Incipit,Digipolis Thesauri\Titel Type\,incipits,300055029,production
ot,Overkoepelende Titel,Digipolis Thesauri\Titel Type\,collective titles,300417198,production
ti,Titel,Digipolis Thesauri\Titel Type\,titles proper,300417196,production
be,Beschrijving,Digipolis Thesauri\Titel Type\,constructed titles,300417205,production
om,Omschrijving,Digipolis Thesauri\Titel Type\,constructed titles,300417205,production

