card,card_order,ResourceID,identifier_content,identifier_type,architect_name,alt_names,other_identifier_content,other_identifier_type,dedication_activity_actor,dedication_activity_actor_role,name_givenname,name_type,name_language
Actors,0,6c1d7e67-2ecc-590e-a87d-f33a5bdefa5e,https://n2t.net/ark:/15052/42b94a32-ab19-4ae5-9a82-d81de93c756c,Brabant Cloud ARK Identifier,,,https://www.wikidata.org/entity/Q651999,Wikidata,"[{""resourceId"": ""6c1d7e67-2ecc-590e-a87d-f33a5bdefa5e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""5946229f-fcd1-5411-b289-8483b4083fd2"", ""inverseOntologyProperty"": """"}]",Dedicated to,Felix van Valois,Primary,Nederlands
Actors,0,358d5b89-18bd-5ae5-ab9c-85a4ace22dcb,https://n2t.net/ark:/15052/ab653afa-e404-4f35-b1cf-e3cd1ed6ca16,Brabant Cloud ARK Identifier,,"['Sint Carolus Borromeus', 'Carolus Borromaeus', 'Sint-Carolus Borromeus', 'Carolus Borromeüs', 'Carlo Borromeo', 'St. Carolus Borromeus', 'Karel Borromeus']",http://www.wikidata.org/entity/Q216946,Wikidata,"[{""resourceId"": ""358d5b89-18bd-5ae5-ab9c-85a4ace22dcb"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0adae5f2-ad0e-5a6e-8256-1f5b4c155ef4"", ""inverseOntologyProperty"": """"}]",Dedicated to,Carolus Borromeus,Primary,Nederlands
Actors,0,36c6b446-4dc5-5d2e-97bc-9d1678d317ea,https://n2t.net/ark:/15052/f5c9cc57-f9b9-408a-a211-9ca21ace1b19,Brabant Cloud ARK Identifier,,,https://www.wikidata.org/entity/Q456845,Wikidata,"[{""resourceId"": ""36c6b446-4dc5-5d2e-97bc-9d1678d317ea"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8d514213-fb68-5c21-acf0-b31545bed32e"", ""inverseOntologyProperty"": """"}]",Dedicated to,Alix Le Clerc,Primary,Nederlands
Actors,0,e91c3416-7b52-556d-9cd1-648f0c4754fb,https://n2t.net/ark:/15052/60dc5a9f-f7c2-4af1-a52d-2a59657e56cf,Brabant Cloud ARK Identifier,,"['Koningin des Hemels', 'Regina caeli']",,,"[{""resourceId"": ""e91c3416-7b52-556d-9cd1-648f0c4754fb"", ""ontologyProperty"": """", ""resourceXresourceId"": ""93dd715a-1efb-51e6-8a90-a101cad50c00"", ""inverseOntologyProperty"": """"}]",Dedicated to,Regina coeli,Primary,Nederlands
Actors,0,c8e2af2f-47ef-52ba-83f4-e0d0465adb44,https://n2t.net/ark:/15052/858d0c4f-437b-48cb-bda2-7771f8649305,Brabant Cloud ARK Identifier,,"['Sint Fidelis', 'Fedelis van Sigmaringen', 'St. Fidelis']",https://www.wikidata.org/entity/Q470613,Wikidata,"[{""resourceId"": ""c8e2af2f-47ef-52ba-83f4-e0d0465adb44"", ""ontologyProperty"": """", ""resourceXresourceId"": ""14432fb8-96d5-533d-ad0a-f8d61821db3b"", ""inverseOntologyProperty"": """"}]",Dedicated to,Fidelis van Sigmaringen,Primary,Nederlands
Actors,0,372c73a9-7fd8-576a-8920-95cbb1909718,https://n2t.net/ark:/15052/87c1154b-7f18-4200-b054-792b4522d203,Brabant Cloud ARK Identifier,,Maria van Leuven,https://www.wikidata.org/entity/Q224685,Wikidata,"[{""resourceId"": ""372c73a9-7fd8-576a-8920-95cbb1909718"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0f380598-a2cd-536e-a02d-6790da0a8985"", ""inverseOntologyProperty"": """"}]",Dedicated to,Maria van Brabant,Primary,Nederlands
Actors,0,a5c0d3df-fb86-5685-961a-e191386a8a31,https://n2t.net/ark:/15052/97fccd19-f715-4899-a0ba-667d942283b6,Brabant Cloud ARK Identifier,,,https://www.wikidata.org/entity/Q191107,Wikidata,"[{""resourceId"": ""a5c0d3df-fb86-5685-961a-e191386a8a31"", ""ontologyProperty"": """", ""resourceXresourceId"": ""24dd85d9-2cde-52b2-91aa-1197373987d3"", ""inverseOntologyProperty"": """"}]",Dedicated to,Clara van Assisi,Primary,Nederlands
Actors,0,f83d143a-6d60-537c-bf48-8f4b3793caf9,https://n2t.net/ark:/15052/2e23aa83-e43a-4b01-9868-62b8be9a8e86,Brabant Cloud ARK Identifier,,,https://www.wikidata.org/entity/Q462596,Wikidata,"[{""resourceId"": ""f83d143a-6d60-537c-bf48-8f4b3793caf9"", ""ontologyProperty"": """", ""resourceXresourceId"": ""4368336b-f657-57c7-ba9d-93ec415b87db"", ""inverseOntologyProperty"": """"}]",Dedicated to,Sophia van Rome,Primary,Nederlands
Actors,0,fe68c181-a92f-5709-bc9d-f7afd47beec4,https://n2t.net/ark:/15052/55dee5b9-b91e-4e28-bc63-72364a4c5420,Brabant Cloud ARK Identifier,,"['Heilige Birgitta van Zweden', 'Birgitta', 'Heilige Birgitta']",https://www.wikidata.org/entity/Q204996,Wikidata,"[{""resourceId"": ""fe68c181-a92f-5709-bc9d-f7afd47beec4"", ""ontologyProperty"": """", ""resourceXresourceId"": ""017603cd-b0ed-5aa2-af3a-11544b9df146"", ""inverseOntologyProperty"": """"}]",Dedicated to,Birgitta van Zweden,Primary,Nederlands
Actors,0,383a2150-384c-5d89-b3fa-5b8605df1446,https://n2t.net/ark:/15052/47c3a6de-d78a-41ee-8856-18b9681854f9,Brabant Cloud ARK Identifier,,"['Nicolaas van Bari', 'Nicolaas van Patara', 'Nicolaas', 'Sint-Nikolaas', 'Sint-Niklaas', 'Sint-Nicolaas van Myra', 'Sint-Nicolaas']",https://www.wikidata.org/entity/Q44269,Wikidata,"[{""resourceId"": ""383a2150-384c-5d89-b3fa-5b8605df1446"", ""ontologyProperty"": """", ""resourceXresourceId"": ""50fc75e8-df59-550e-89ac-6166f7c5cb25"", ""inverseOntologyProperty"": """"}]",Dedicated to,Nicolaas van Myra,Primary,Nederlands
Actors,0,f03c34d8-e049-5e49-a894-2c324474a080,https://n2t.net/ark:/15052/0301ec15-5506-448c-bf2d-d8039da6ab50,Brabant Cloud ARK Identifier,,"['Willem de Grote', 'Willem de Kluizenaar']",https://www.wikidata.org/entity/Q119512,Wikidata,"[{""resourceId"": ""f03c34d8-e049-5e49-a894-2c324474a080"", ""ontologyProperty"": """", ""resourceXresourceId"": ""4c616f32-d40a-555e-ac20-9fb1a8b99848"", ""inverseOntologyProperty"": """"}]",Dedicated to,Willem van Maleval,Primary,Nederlands
Actors,0,b90766b5-160f-5fd5-9081-d2a339c7c3e7,https://n2t.net/ark:/15052/e849e4f1-fdd0-47f2-81d6-dc8c7b7a0263,Brabant Cloud ARK Identifier,,"['St. Remigius', 'Sint Remigius', 'Sint-Remigius']",https://www.wikidata.org/entity/Q367208,Wikidata,"[{""resourceId"": ""b90766b5-160f-5fd5-9081-d2a339c7c3e7"", ""ontologyProperty"": """", ""resourceXresourceId"": ""9791c2dc-91d3-51ae-abfb-726f44d836fb"", ""inverseOntologyProperty"": """"}]",Dedicated to,Remigius van Reims,Primary,Nederlands
Actors,0,026ad0b1-a161-5832-9ba1-aafe7f9dfcd7,https://n2t.net/ark:/15052/e65bd3aa-454e-45ec-850e-3528e5d02499,Brabant Cloud ARK Identifier,,"['Hubertus', 'Sint Hubertus', 'Sint-Hubertus', 'St. Hubertus', 'Huibrecht']",https://www.wikidata.org/entity/Q159834,Wikidata,"[{""resourceId"": ""026ad0b1-a161-5832-9ba1-aafe7f9dfcd7"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1f8010f1-612e-50d4-bf5b-d9959f4b6156"", ""inverseOntologyProperty"": """"}]",Dedicated to,Hubertus van Luik,Primary,Nederlands
Actors,0,08907c36-7770-5c5b-b105-4871215efa7f,https://n2t.net/ark:/15052/e65bd3aa-454e-45ec-850e-3528e5d02499,Brabant Cloud ARK Identifier,,"['Sint Sebastiaan', 'Sint Sebastianus', 'St. Sebastiaan', 'St.-Sebastiaan', 'St.-Sebastianus', 'Sint-Sebastianus', 'Sint-Sebastiaan', 'St. Sebastianus']",https://www.wikidata.org/entity/Q183332,Wikidata,"[{""resourceId"": ""08907c36-7770-5c5b-b105-4871215efa7f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""6bebec64-9c5c-5b20-9ee6-466103e47193"", ""inverseOntologyProperty"": """"}]",Dedicated to,Sebastiaan,Primary,Nederlands
Actors,0,429dd5c1-98f5-5790-bf23-1dd9d2a77059,https://n2t.net/ark:/15052/e639a40a-0cea-4a1e-992a-b8225f9da201,Brabant Cloud ARK Identifier,,"['Sint-Laurentius', 'Sint-Laurens']",https://www.wikidata.org/entity/Q17590,Wikidata,"[{""resourceId"": ""429dd5c1-98f5-5790-bf23-1dd9d2a77059"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1bfd9f00-120a-51c9-9209-4be3cd4bad95"", ""inverseOntologyProperty"": """"}]",Dedicated to,Laurentius van Rome,Primary,Nederlands
Actors,0,c32d53b9-126b-5222-a4c6-5fd18bc7eca1,https://n2t.net/ark:/15052/e58ffeb6-87ee-4219-ba44-c70c26f1ed4d,Brabant Cloud ARK Identifier,,"['Sint Vincentius', 'Madelgarius', 'Maldegarius', 'Sint-Vincentius', 'St. Vincentius']",https://www.wikidata.org/entity/Q2462614,Wikidata,"[{""resourceId"": ""c32d53b9-126b-5222-a4c6-5fd18bc7eca1"", ""ontologyProperty"": """", ""resourceXresourceId"": ""59af1bcd-00d4-5719-9a9d-90b028988f3a"", ""inverseOntologyProperty"": """"}]",Dedicated to,Vincentius Madelgarius,Primary,Nederlands
Actors,0,71159ec8-672d-5ab2-82f9-65243827885b,https://n2t.net/ark:/15052/e58ffeb6-87ee-4219-ba44-c70c26f1ed4d,Brabant Cloud ARK Identifier,,"['Vincentius van Saragossa', 'Sint-Vincentius Martelaar', 'Vincentius van Valencia']",https://www.wikidata.org/entity/Q318974,Wikidata,"[{""resourceId"": ""71159ec8-672d-5ab2-82f9-65243827885b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""46650924-12ef-53b3-8cc1-c19b6dd295df"", ""inverseOntologyProperty"": """"}]",Dedicated to,Vincentius van Zaragoza,Primary,Nederlands
Actors,0,72d36de0-ea7f-5a04-a3c7-bfb8bde17b08,https://n2t.net/ark:/15052/434fc310-2aa1-4eb9-8bf6-f77c948b4547,Brabant Cloud ARK Identifier,,"['Aartsengel Michael', 'Aartsengel Michaël', 'Heilige Michael', 'Michael', 'Sint Michael', 'Sint Michaël', 'Sint-Michael', 'Sint-Michiel', 'Sint-Michaël']",https://www.wikidata.org/entity/Q45581,Wikidata,"[{""resourceId"": ""72d36de0-ea7f-5a04-a3c7-bfb8bde17b08"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a7bb6390-ea09-5fbc-9b44-32084b648d9f"", ""inverseOntologyProperty"": """"}]",Dedicated to,Michaël,Primary,Nederlands
Actors,0,0b5fae8b-f553-55de-ace7-7b891a2376db,https://n2t.net/ark:/15052/f7513536-2a12-40f3-b413-7fe996864af3,Brabant Cloud ARK Identifier,,,https://www.wikidata.org/entity/Q651226,Wikidata,"[{""resourceId"": ""0b5fae8b-f553-55de-ace7-7b891a2376db"", ""ontologyProperty"": """", ""resourceXresourceId"": ""3b45821a-d6d9-5e98-9daa-b27f6d5676df"", ""inverseOntologyProperty"": """"}]",Dedicated to,Victor van Xanten,Primary,Nederlands
Actors,0,511af9ce-c468-554e-b6ff-5dece0ed7861,https://n2t.net/ark:/15052/3b8e18ae-7aa8-469e-b6ab-25c537ce58b9,Brabant Cloud ARK Identifier,,"['Onze-Lieve-Vrouw van Bijstand en Victorie', 'Onze-Lieve-Vrouw van Bijstand']",https://www.wikidata.org/entity/Q178754,Wikidata,"[{""resourceId"": ""511af9ce-c468-554e-b6ff-5dece0ed7861"", ""ontologyProperty"": """", ""resourceXresourceId"": ""b7d99950-35c8-51dc-874c-b1c42c2bf339"", ""inverseOntologyProperty"": """"}]",Dedicated to,Onze-Lieve-Vrouw van Altijddurende Bijstand,Primary,Nederlands
Actors,0,4cbdba98-5a7c-5079-9a1b-b8bb97484022,https://n2t.net/ark:/15052/004231ea-f8ab-46a6-bda8-037682ca26cf,Brabant Cloud ARK Identifier,,"['Agatha van Sicil', 'Heilige Agatha van Catania', 'Agatha van Sicilie', 'Sint-Agatha', 'Agata van Sicilie', 'Agatha van Catania', 'Agata van Sicilië', 'Agata van Catania', 'Agaat van Sicilië', 'Agaat van Sicilie', 'Agaat van Sicil', 'Agaat van Catania', 'Heilige Agatha van Sicilië', 'St. Agatha', 'Agatha van Sicilië', 'Sint Agatha']",https://www.wikidata.org/entity/Q200895,Wikidata,"[{""resourceId"": ""4cbdba98-5a7c-5079-9a1b-b8bb97484022"", ""ontologyProperty"": """", ""resourceXresourceId"": ""dbbde8bc-667a-598a-8312-4c7a1243d44b"", ""inverseOntologyProperty"": """"}]",Dedicated to,Agatha van Sicilië,Primary,Nederlands
Actors,0,78cdf6bd-dba2-5afd-ae39-5f97119292bf,https://n2t.net/ark:/15052/881e5c82-5cf3-4e45-b698-235b138e64a1,Brabant Cloud ARK Identifier,,"['Abbot of Monte Cassino Saint Benedict', 'Sint-Benedictus', 'Sint Benedictus', 'Benedictus van Nurcia', 'Benedictus']",https://www.wikidata.org/entity/Q44265,Wikidata,"[{""resourceId"": ""78cdf6bd-dba2-5afd-ae39-5f97119292bf"", ""ontologyProperty"": """", ""resourceXresourceId"": ""b70df5b0-0bc5-5fc9-8a9f-b328028d6b3f"", ""inverseOntologyProperty"": """"}]",Dedicated to,Benedictus van Nursia,Primary,Nederlands
Actors,0,45089b37-bf05-5076-a3e8-f97e7766e0e5,https://n2t.net/ark:/15052/a47a3cdc-58d3-4de9-a666-d36764c9b2d8,Brabant Cloud ARK Identifier,,"['M.S. Glorieux', 'Stefaan Modest Glorieux', 'Glorieux', 'Stefaan Glorieux', 'Etienne Modest Glorieux', 'E.M Glorieux']",https://www.wikidata.org/entity/Q2652269,Wikidata,"[{""resourceId"": ""45089b37-bf05-5076-a3e8-f97e7766e0e5"", ""ontologyProperty"": """", ""resourceXresourceId"": ""aafeb4c5-3109-5f07-aacf-691ca5e1283c"", ""inverseOntologyProperty"": """"}]",Dedicated to,Modestus Stephanus Glorieux,Primary,Nederlands
Actors,0,6aa2b6d6-91d6-51a4-94a0-2e985efb9e06,https://n2t.net/ark:/15052/412fee48-e5f8-4ef9-8337-79ea795187f0,Brabant Cloud ARK Identifier,,"['Rombout', 'Rumoldus', 'Sint Rombout', 'Sint Rumoldus', 'Sint-Rombout', 'Sint-Rumoldus', 'St. Rombout', 'St. Rumoldus']",http://www.wikidata.org/entity/Q965463,Wikidata,"[{""resourceId"": ""6aa2b6d6-91d6-51a4-94a0-2e985efb9e06"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7a2ccd55-1975-56de-953c-691af1b8237c"", ""inverseOntologyProperty"": """"}]",Dedicated to,Rumoldus van Mechelen,Primary,Nederlands
Actors,0,ad562877-279a-5fc2-8508-de1eca6b0cd0,https://n2t.net/ark:/15052/caa0ec46-939c-4144-95fc-83c4cc5a9d1b,Brabant Cloud ARK Identifier,,"['João de Deus', 'Sint Joannes de Deo', 'Sint-Joannes de Deo', 'St. Joannes de Deo']",https://www.wikidata.org/entity/Q320171,Wikidata,"[{""resourceId"": ""ad562877-279a-5fc2-8508-de1eca6b0cd0"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c19acc5e-3b84-5340-8e3e-9cd5ebbdfe60"", ""inverseOntologyProperty"": """"}]",Dedicated to,Johannes de Deo,Primary,Nederlands
