ResourceID,id,card,card_order,alternative_name_content,alternative_name_content_type,alternative_name_content_language
03f075d1-805f-5176-995b-6481146a377c,https://n2t.net/ark:/15052/61752b86-270f-4a95-968e-fcdd433a3d6c,Alternate names,1,"Van der Laan, van Hal en Hansen",Alternative,Nederlands
33c6c288-da3d-54d7-ab49-b468c24d79f7,https://n2t.net/ark:/15052/6d8d829e-3f75-4743-a766-eebf90967ff2,Alternate names,1,W.J. Bunnik,Alternative,Nederlands
33c6c288-da3d-54d7-ab49-b468c24d79f7,https://n2t.net/ark:/15052/6d8d829e-3f75-4743-a766-eebf90967ff2,Alternate names,1,Wim Bunnik,Alternative,Nederlands
33c6c288-da3d-54d7-ab49-b468c24d79f7,https://n2t.net/ark:/15052/6d8d829e-3f75-4743-a766-eebf90967ff2,Alternate names,1,J. Bunnik,Alternative,Nederlands
4f21cfda-4f80-53bc-8e22-1e1be7b9a7d6,https://n2t.net/ark:/15052/66bdbb71-ed86-4e30-ace2-b5fa86ac10ed,Alternate names,1,C.H. de Bever,Alternative,Nederlands
4f21cfda-4f80-53bc-8e22-1e1be7b9a7d6,https://n2t.net/ark:/15052/66bdbb71-ed86-4e30-ace2-b5fa86ac10ed,Alternate names,1,Kees de Bever,Alternative,Nederlands
4f21cfda-4f80-53bc-8e22-1e1be7b9a7d6,https://n2t.net/ark:/15052/66bdbb71-ed86-4e30-ace2-b5fa86ac10ed,Alternate names,1,Cornelis Hubertus (Cees) de Bever,Alternative,Nederlands
4f21cfda-4f80-53bc-8e22-1e1be7b9a7d6,https://n2t.net/ark:/15052/66bdbb71-ed86-4e30-ace2-b5fa86ac10ed,Alternate names,1,C. de Bever,Alternative,Nederlands
4df7c27a-aceb-5f6b-9956-2b8f24d98c33,https://n2t.net/ark:/15052/bd5c7ea4-571c-4892-86d6-604a4e123755,Alternate names,1,Nicolaus Jacobus Hubertus van Groenendael,Alternative,Nederlands
4df7c27a-aceb-5f6b-9956-2b8f24d98c33,https://n2t.net/ark:/15052/bd5c7ea4-571c-4892-86d6-604a4e123755,Alternate names,1,N.J.H. van Groenendael,Alternative,Nederlands
4df7c27a-aceb-5f6b-9956-2b8f24d98c33,https://n2t.net/ark:/15052/bd5c7ea4-571c-4892-86d6-604a4e123755,Alternate names,1,Jac. van Groenendael,Alternative,Nederlands
d31cc07d-2c50-5149-86cb-58104a77fa47,https://n2t.net/ark:/15052/e6bc2671-dab8-46f5-8222-10b8ba7982db,Alternate names,1,Hugo C. Dobbe van Pelt,Alternative,Nederlands
d31cc07d-2c50-5149-86cb-58104a77fa47,https://n2t.net/ark:/15052/e6bc2671-dab8-46f5-8222-10b8ba7982db,Alternate names,1,H.C. Dobbe van Pelt,Alternative,Nederlands
d31cc07d-2c50-5149-86cb-58104a77fa47,https://n2t.net/ark:/15052/e6bc2671-dab8-46f5-8222-10b8ba7982db,Alternate names,1,H. Dobbe,Alternative,Nederlands
d31cc07d-2c50-5149-86cb-58104a77fa47,https://n2t.net/ark:/15052/e6bc2671-dab8-46f5-8222-10b8ba7982db,Alternate names,1,Hugo Cornelis Dobbe,Alternative,Nederlands
f5be4c3e-8e56-542a-8045-a65b8296075f,https://n2t.net/ark:/15052/a132faad-f443-49f5-8dde-b2fa17b4c93d,Alternate names,1,Oomen,Alternative,Nederlands
f5be4c3e-8e56-542a-8045-a65b8296075f,https://n2t.net/ark:/15052/a132faad-f443-49f5-8dde-b2fa17b4c93d,Alternate names,1,Architecten en ingenieursbureau Oomen,Alternative,Nederlands
f5be4c3e-8e56-542a-8045-a65b8296075f,https://n2t.net/ark:/15052/a132faad-f443-49f5-8dde-b2fa17b4c93d,Alternate names,1,Architecten- en ingenieursbureau Oomen,Alternative,Nederlands
59a4478d-1370-5a70-a79b-ec5df77e00c3,https://n2t.net/ark:/15052/7a01c762-034f-4c79-b6b2-81532fd0863a,Alternate names,1,Q. Horsten,Alternative,Nederlands
59a4478d-1370-5a70-a79b-ec5df77e00c3,https://n2t.net/ark:/15052/7a01c762-034f-4c79-b6b2-81532fd0863a,Alternate names,1,Quirinus Horsten,Alternative,Nederlands
04b47047-b67f-5627-b326-1af28c23fb2c,https://n2t.net/ark:/15052/7bd11d27-290f-4c32-b12e-02c8d30f09c5,Alternate names,1,W. te Riele,Alternative,Nederlands
04b47047-b67f-5627-b326-1af28c23fb2c,https://n2t.net/ark:/15052/7bd11d27-290f-4c32-b12e-02c8d30f09c5,Alternate names,1,W.A.M. te Riele,Alternative,Nederlands
04b47047-b67f-5627-b326-1af28c23fb2c,https://n2t.net/ark:/15052/7bd11d27-290f-4c32-b12e-02c8d30f09c5,Alternate names,1,Wolterus Antonius Maria te Riele,Alternative,Nederlands
1d9ceaa8-3078-5951-b128-8d86a9c4935d,https://n2t.net/ark:/15052/264e6d54-5ee2-4bca-adfa-c4b69c807655,Alternate names,1,F. de Beer,Alternative,Nederlands
1d9ceaa8-3078-5951-b128-8d86a9c4935d,https://n2t.net/ark:/15052/264e6d54-5ee2-4bca-adfa-c4b69c807655,Alternate names,1,Franciscus Cornelis de Beer,Alternative,Nederlands
1d9ceaa8-3078-5951-b128-8d86a9c4935d,https://n2t.net/ark:/15052/264e6d54-5ee2-4bca-adfa-c4b69c807655,Alternate names,1,F.C. de Beer,Alternative,Nederlands
b3479456-ddcf-534a-b800-fe5cd1a8eb55,https://n2t.net/ark:/15052/ab196c00-367c-4323-b9ec-8d7b310a66f4,Alternate names,1,Wilhelmus Theodorus van Aalst,Alternative,Nederlands
b3479456-ddcf-534a-b800-fe5cd1a8eb55,https://n2t.net/ark:/15052/ab196c00-367c-4323-b9ec-8d7b310a66f4,Alternate names,1,W. van Aalst,Alternative,Nederlands
b3479456-ddcf-534a-b800-fe5cd1a8eb55,https://n2t.net/ark:/15052/ab196c00-367c-4323-b9ec-8d7b310a66f4,Alternate names,1,"Aalst, W.Th. van",Alternative,Nederlands
e0a5e8e9-46b9-5fd7-b6ce-4425f2705093,https://n2t.net/ark:/15052/6f37ceb6-1849-4672-aca0-d0f89f2cca9a,Alternate names,1,J. Goethals,Alternative,Nederlands
e0a5e8e9-46b9-5fd7-b6ce-4425f2705093,https://n2t.net/ark:/15052/6f37ceb6-1849-4672-aca0-d0f89f2cca9a,Alternate names,1,Julius-Guillielmus Goethals,Alternative,Nederlands
a3bb9e48-f151-5d23-9232-d75cf70e1304,https://n2t.net/ark:/15052/198aa80b-581e-4a73-8422-e87d29417ace,Alternate names,1,J. F. Vervest,Alternative,Nederlands
a3bb9e48-f151-5d23-9232-d75cf70e1304,https://n2t.net/ark:/15052/198aa80b-581e-4a73-8422-e87d29417ace,Alternate names,1,F. Vervest,Alternative,Nederlands
a3bb9e48-f151-5d23-9232-d75cf70e1304,https://n2t.net/ark:/15052/198aa80b-581e-4a73-8422-e87d29417ace,Alternate names,1,F. J. Vervest,Alternative,Nederlands
18cc8a68-fd4f-507d-94b6-18d615f1d2f0,https://n2t.net/ark:/15052/bdd8df85-5b6d-4eb7-a674-c2e27360844a,Alternate names,1,F. van der Vaart,Alternative,Nederlands
18cc8a68-fd4f-507d-94b6-18d615f1d2f0,https://n2t.net/ark:/15052/bdd8df85-5b6d-4eb7-a674-c2e27360844a,Alternate names,1,Floor van der Vaart,Alternative,Nederlands
da341289-4f95-57e5-9c82-c9c12c54cee7,https://n2t.net/ark:/15052/cd0a9ddb-d43a-40e5-947b-6e53c95be45b,Alternate names,1,Cornelis Roffelsen,Alternative,Nederlands
da341289-4f95-57e5-9c82-c9c12c54cee7,https://n2t.net/ark:/15052/cd0a9ddb-d43a-40e5-947b-6e53c95be45b,Alternate names,1,C. Roffelsen,Alternative,Nederlands
26203f98-f998-5498-a405-c7ed568172f5,https://n2t.net/ark:/15052/e47bea84-1572-4171-8f8c-ee5f0fa747ad,Alternate names,1,Jos. Tonino,Alternative,Nederlands
26203f98-f998-5498-a405-c7ed568172f5,https://n2t.net/ark:/15052/e47bea84-1572-4171-8f8c-ee5f0fa747ad,Alternate names,1,J. Tonino,Alternative,Nederlands
92c044e7-a227-5062-8ead-e6e218d297f0,https://n2t.net/ark:/15052/3f034ae5-3e3e-46e1-b84e-855d15bba015,Alternate names,1,Leo Goijaerts,Alternative,Nederlands
92c044e7-a227-5062-8ead-e6e218d297f0,https://n2t.net/ark:/15052/3f034ae5-3e3e-46e1-b84e-855d15bba015,Alternate names,1,Leo Goyarts,Alternative,Nederlands
92c044e7-a227-5062-8ead-e6e218d297f0,https://n2t.net/ark:/15052/3f034ae5-3e3e-46e1-b84e-855d15bba015,Alternate names,1,L. Goijaerts,Alternative,Nederlands
92c044e7-a227-5062-8ead-e6e218d297f0,https://n2t.net/ark:/15052/3f034ae5-3e3e-46e1-b84e-855d15bba015,Alternate names,1,L. Goyarts,Alternative,Nederlands
31a28a3d-7889-5bcf-afcf-3fc55d1025a2,https://n2t.net/ark:/15052/9ca19cd7-1574-4bfa-8bc6-99e6c1842d00,Alternate names,1,L. Hezenmans,Alternative,Nederlands
31a28a3d-7889-5bcf-afcf-3fc55d1025a2,https://n2t.net/ark:/15052/9ca19cd7-1574-4bfa-8bc6-99e6c1842d00,Alternate names,1,Lambertus Christianus Hezenmans,Alternative,Nederlands
31a28a3d-7889-5bcf-afcf-3fc55d1025a2,https://n2t.net/ark:/15052/9ca19cd7-1574-4bfa-8bc6-99e6c1842d00,Alternate names,1,Lambert C. Hezenmans,Alternative,Nederlands
31a28a3d-7889-5bcf-afcf-3fc55d1025a2,https://n2t.net/ark:/15052/9ca19cd7-1574-4bfa-8bc6-99e6c1842d00,Alternate names,1,L. Hezemans,Alternative,Nederlands
31a28a3d-7889-5bcf-afcf-3fc55d1025a2,https://n2t.net/ark:/15052/9ca19cd7-1574-4bfa-8bc6-99e6c1842d00,Alternate names,1,Lambert Hezemans,Alternative,Nederlands
31a28a3d-7889-5bcf-afcf-3fc55d1025a2,https://n2t.net/ark:/15052/9ca19cd7-1574-4bfa-8bc6-99e6c1842d00,Alternate names,1,L.C. Hezemans,Alternative,Nederlands
5608ec69-a665-5f62-b4c4-4e9521328831,https://n2t.net/ark:/15052/2d998156-da62-4c17-9291-8077b968129d,Alternate names,1,J. van der Valk,Alternative,Nederlands
5608ec69-a665-5f62-b4c4-4e9521328831,https://n2t.net/ark:/15052/2d998156-da62-4c17-9291-8077b968129d,Alternate names,1,Johannes Jacobus Adrianus Josephus van der Valk,Alternative,Nederlands
9b6648e4-a866-5a40-ad98-679feb4aba63,https://n2t.net/ark:/15052/df9ccb5c-33d9-444e-a84d-6baabf69c1eb,Alternate names,1,Johannes Hubertus Berben,Alternative,Nederlands
9b6648e4-a866-5a40-ad98-679feb4aba63,https://n2t.net/ark:/15052/df9ccb5c-33d9-444e-a84d-6baabf69c1eb,Alternate names,1,J.H.J. Berben,Alternative,Nederlands
9b6648e4-a866-5a40-ad98-679feb4aba63,https://n2t.net/ark:/15052/df9ccb5c-33d9-444e-a84d-6baabf69c1eb,Alternate names,1,Joh. H. Berben,Alternative,Nederlands
9b6648e4-a866-5a40-ad98-679feb4aba63,https://n2t.net/ark:/15052/df9ccb5c-33d9-444e-a84d-6baabf69c1eb,Alternate names,1,J.H. Berben,Alternative,Nederlands
9b6648e4-a866-5a40-ad98-679feb4aba63,https://n2t.net/ark:/15052/df9ccb5c-33d9-444e-a84d-6baabf69c1eb,Alternate names,1,J. Berben,Alternative,Nederlands
9b6648e4-a866-5a40-ad98-679feb4aba63,https://n2t.net/ark:/15052/df9ccb5c-33d9-444e-a84d-6baabf69c1eb,Alternate names,1,Jos Berben,Alternative,Nederlands
9b6648e4-a866-5a40-ad98-679feb4aba63,https://n2t.net/ark:/15052/df9ccb5c-33d9-444e-a84d-6baabf69c1eb,Alternate names,1,Johannes Hubertus J. Berben,Alternative,Nederlands
82e78943-60f0-51f5-a0cb-5ec99e2790c1,https://n2t.net/ark:/15052/6d1d7d25-b1be-4684-abfc-d2050f1caad6,Alternate names,1,B. Oomen,Alternative,Nederlands
82e78943-60f0-51f5-a0cb-5ec99e2790c1,https://n2t.net/ark:/15052/6d1d7d25-b1be-4684-abfc-d2050f1caad6,Alternate names,1,B.P.J. Oomen,Alternative,Nederlands
82e78943-60f0-51f5-a0cb-5ec99e2790c1,https://n2t.net/ark:/15052/6d1d7d25-b1be-4684-abfc-d2050f1caad6,Alternate names,1,Bernard Oomen,Alternative,Nederlands
82e78943-60f0-51f5-a0cb-5ec99e2790c1,https://n2t.net/ark:/15052/6d1d7d25-b1be-4684-abfc-d2050f1caad6,Alternate names,1,Bernhard Oomen,Alternative,Nederlands
82e78943-60f0-51f5-a0cb-5ec99e2790c1,https://n2t.net/ark:/15052/6d1d7d25-b1be-4684-abfc-d2050f1caad6,Alternate names,1,Bernardus Petrus Johannes Oomen,Alternative,Nederlands
