ResourceID,card,card_order,source_id,digital_reference_uri,alternate_name_content_type,digital_reference_type
4b2e18bf-7ddc-5c76-a5ff-919f483ba3f7,digital_reference,2,2749233,Gemeente Oss,Alternate,
4b2e18bf-7ddc-5c76-a5ff-919f483ba3f7,digital_reference,2,2749233,Oss,Alternate,
4b2e18bf-7ddc-5c76-a5ff-919f483ba3f7,digital_reference,2,2749233,https://en.wikipedia.org/wiki/Oss,Alternate,link
4b2e18bf-7ddc-5c76-a5ff-919f483ba3f7,digital_reference,2,2749233,Oss,Alternate,nl
4b2e18bf-7ddc-5c76-a5ff-919f483ba3f7,digital_reference,2,2749233,Oss Municipality,Alternate,en
1cc317d6-20a3-5237-bf1a-7527ce8928dc,digital_reference,2,2749234,Os,Alternate,
1cc317d6-20a3-5237-bf1a-7527ce8928dc,digital_reference,2,2749234,Oss,Alternate,en
1cc317d6-20a3-5237-bf1a-7527ce8928dc,digital_reference,2,2749234,Oss,Alternate,de
1cc317d6-20a3-5237-bf1a-7527ce8928dc,digital_reference,2,2749234,Oss,Alternate,fr
1cc317d6-20a3-5237-bf1a-7527ce8928dc,digital_reference,2,2749234,Oss,Alternate,id
1cc317d6-20a3-5237-bf1a-7527ce8928dc,digital_reference,2,2749234,Oss,Alternate,it
1cc317d6-20a3-5237-bf1a-7527ce8928dc,digital_reference,2,2749234,Oss,Alternate,li
1cc317d6-20a3-5237-bf1a-7527ce8928dc,digital_reference,2,2749234,Oss,Alternate,nl
1cc317d6-20a3-5237-bf1a-7527ce8928dc,digital_reference,2,2749234,Oss,Alternate,ro
1cc317d6-20a3-5237-bf1a-7527ce8928dc,digital_reference,2,2749234,Oss,Alternate,sv
1cc317d6-20a3-5237-bf1a-7527ce8928dc,digital_reference,2,2749234,https://en.wikipedia.org/wiki/Oss,Alternate,link
1cc317d6-20a3-5237-bf1a-7527ce8928dc,digital_reference,2,2749234,Осс,Alternate,ru
1cc317d6-20a3-5237-bf1a-7527ce8928dc,digital_reference,2,2749234,オス,Alternate,ja
1cc317d6-20a3-5237-bf1a-7527ce8928dc,digital_reference,2,2749234,Oss i Nederland,Alternate,nn
1cc317d6-20a3-5237-bf1a-7527ce8928dc,digital_reference,2,2749234,奥斯,Alternate,zh
1cc317d6-20a3-5237-bf1a-7527ce8928dc,digital_reference,2,2749234,5341,Alternate,post
1cc317d6-20a3-5237-bf1a-7527ce8928dc,digital_reference,2,2749234,5342,Alternate,post
1cc317d6-20a3-5237-bf1a-7527ce8928dc,digital_reference,2,2749234,5343,Alternate,post
1cc317d6-20a3-5237-bf1a-7527ce8928dc,digital_reference,2,2749234,5344,Alternate,post
1cc317d6-20a3-5237-bf1a-7527ce8928dc,digital_reference,2,2749234,5345,Alternate,post
1cc317d6-20a3-5237-bf1a-7527ce8928dc,digital_reference,2,2749234,5346,Alternate,post
1cc317d6-20a3-5237-bf1a-7527ce8928dc,digital_reference,2,2749234,5347,Alternate,post
1cc317d6-20a3-5237-bf1a-7527ce8928dc,digital_reference,2,2749234,5348,Alternate,post
1cc317d6-20a3-5237-bf1a-7527ce8928dc,digital_reference,2,2749234,5349,Alternate,post
1cc317d6-20a3-5237-bf1a-7527ce8928dc,digital_reference,2,2749234,NLOSS,Alternate,unlc
1cc317d6-20a3-5237-bf1a-7527ce8928dc,digital_reference,2,2749234,Q13971034,Alternate,wkdt
2c1c9426-ec85-5452-b60f-d405142fc117,digital_reference,2,2749248,Q1927937,Alternate,wkdt
fac08102-d79f-50ed-9cb5-55b5219fe611,digital_reference,2,2749288,"Gemeente Oploo, Sint Anthonis en Ledeacker",Alternate,
fac08102-d79f-50ed-9cb5-55b5219fe611,digital_reference,2,2749288,Gemeente Sint Anthonis,Alternate,
fac08102-d79f-50ed-9cb5-55b5219fe611,digital_reference,2,2749288,Sint Anthonis,Alternate,
fac08102-d79f-50ed-9cb5-55b5219fe611,digital_reference,2,2749288,https://en.wikipedia.org/wiki/Sint_Anthonis,Alternate,link
fac08102-d79f-50ed-9cb5-55b5219fe611,digital_reference,2,2749288,Sint Anthonis,Alternate,nl
7ce70f5f-4aeb-5aca-a668-739a09732829,digital_reference,2,2749289,Oplo,Alternate,
7ce70f5f-4aeb-5aca-a668-739a09732829,digital_reference,2,2749289,https://en.wikipedia.org/wiki/Oploo,Alternate,link
7ce70f5f-4aeb-5aca-a668-739a09732829,digital_reference,2,2749289,5841,Alternate,post
7ce70f5f-4aeb-5aca-a668-739a09732829,digital_reference,2,2749289,NLOPL,Alternate,unlc
7ce70f5f-4aeb-5aca-a668-739a09732829,digital_reference,2,2749289,Q2017122,Alternate,wkdt
40d2e837-97b9-59f2-be61-77f2ee296c35,digital_reference,2,2749314,Op Andel,Alternate,nl
d8649801-f70b-5909-a707-5da41f750e9f,digital_reference,2,2749373,East Hellegat,Alternate,
d8649801-f70b-5909-a707-5da41f750e9f,digital_reference,2,2749373,Oost Hellegat,Alternate,
68a0c361-d6fa-58ff-8db3-33ebf5ca89e5,digital_reference,2,2749447,Oosterhout,Alternate,
68a0c361-d6fa-58ff-8db3-33ebf5ca89e5,digital_reference,2,2749447,Gemeente Oosterhout,Alternate,
