ResourceID,card,card_order,production_event_actor,production_event_actor_role,resource_id,identifier_content,identifier_type,architect_name,alt_names,other_identifier_content,other_identifier_type
e5ade282-ddb3-55b4-a37d-3b2495469d51,architects,5,"[{""resourceId"": ""a1d44cef-371b-5ed1-bb8f-42b0e0699b34"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e8c9035f-4cbc-5e92-b323-c8f2ba992e97"", ""inverseOntologyProperty"": """"}]",Architect,a1d44cef-371b-5ed1-bb8f-42b0e0699b34,https://n2t.net/ark:/15052/3d018a27-a6cb-4b0f-866d-bd27c4c8f095,Brabant Cloud ARK Identifier,Frans Mol,"['Frans Henri Marie Mol', 'F.H.M. Mol']",https://www.wikidata.org/entity/Q62019034,Wikidata
e5ade282-ddb3-55b4-a37d-3b2495469d51,architects,5,"[{""resourceId"": ""ecc5f751-66fb-5aff-a408-f8d2e2fb496f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""b95f93cd-80cb-538c-a881-d5b89086f56a"", ""inverseOntologyProperty"": """"}]",Architect,ecc5f751-66fb-5aff-a408-f8d2e2fb496f,https://n2t.net/ark:/15052/c15f80d0-fe04-405e-887f-aeb0aca8c3dd,Brabant Cloud ARK Identifier,Johannes Hermandus Julius Kayser,"['J.H.J Kayser', 'J. Kayser']",,
b5015326-f198-5138-ac1c-0b08a61bc942,architects,5,"[{""resourceId"": ""1609f679-a4e2-519f-a32d-a4023f1eeeb2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""6ac2e8ae-64a6-588a-9aea-a96366ea5645"", ""inverseOntologyProperty"": """"}]",Architect,1609f679-a4e2-519f-a32d-a4023f1eeeb2,https://n2t.net/ark:/15052/f4027efe-b445-4c43-bfde-0f1c5fee996d,Brabant Cloud ARK Identifier,Caspar Franssen,"['Caspar Johannes Hubertus Franssen', 'C.J.H. Franssen', 'C. Franssen']",http://www.wikidata.org/entity/Q2682321,Wikidata
7a3095fe-e15e-5b67-941a-26c002ea3840,architects,5,"[{""resourceId"": ""1609f679-a4e2-519f-a32d-a4023f1eeeb2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""6ac2e8ae-64a6-588a-9aea-a96366ea5645"", ""inverseOntologyProperty"": """"}]",Architect,1609f679-a4e2-519f-a32d-a4023f1eeeb2,https://n2t.net/ark:/15052/f4027efe-b445-4c43-bfde-0f1c5fee996d,Brabant Cloud ARK Identifier,Caspar Franssen,"['C.J.H. Franssen', 'Caspar Johannes Hubertus Franssen', 'C. Franssen']",http://www.wikidata.org/entity/Q2682321,Wikidata
9af8152f-4e13-5358-ad85-648e2ed28ebd,architects,5,"[{""resourceId"": ""2ea2fb6c-8cbb-5e5d-b0e4-109cbfe105d2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""fdaf20e8-69c1-5f65-b1ff-4b82e7184c3a"", ""inverseOntologyProperty"": """"}]",Architect,2ea2fb6c-8cbb-5e5d-b0e4-109cbfe105d2,https://n2t.net/ark:/15052/360909c2-8b88-4684-adc4-46aabd53efa6,Brabant Cloud ARK Identifier,Louis Kooken,"['L.J.P. Kooken', 'Louis Joseph Petrus Kooken']",https://www.wikidata.org/entity/Q2036765,Wikidata
1448d57f-2835-5403-85dd-f98a293db5fb,architects,5,"[{""resourceId"": ""22305dd7-1818-5b4d-aaa7-e99d2c1feb49"", ""ontologyProperty"": """", ""resourceXresourceId"": ""3916b19f-4091-5ed8-98b1-76cffeb1b2d0"", ""inverseOntologyProperty"": """"}]",Architect,22305dd7-1818-5b4d-aaa7-e99d2c1feb49,https://n2t.net/ark:/15052/0ef43840-0877-4e7a-9dd3-186333b01771,Brabant Cloud ARK Identifier,J.J. van Dillen,,,
931c6ee0-5309-5863-b372-ee3de6e51542,architects,5,"[{""resourceId"": ""4df7c27a-aceb-5f6b-9956-2b8f24d98c33"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8dfd09c6-0201-5900-b90b-da29983e9dcb"", ""inverseOntologyProperty"": """"}]",Architect,4df7c27a-aceb-5f6b-9956-2b8f24d98c33,https://n2t.net/ark:/15052/bd5c7ea4-571c-4892-86d6-604a4e123755,Brabant Cloud ARK Identifier,Jacques van Groenendael,"['Nicolaus Jacobus Hubertus van Groenendael', 'N.J.H. van Groenendael', 'Jac. van Groenendael']",http://www.wikidata.org/entity/Q4932938,Wikidata
023cf90e-d3ff-5bc9-8fb6-c47303f1de60,architects,5,"[{""resourceId"": ""40a09546-efe8-5c4f-b218-d2dcf7de08b0"", ""ontologyProperty"": """", ""resourceXresourceId"": ""118309d5-b9d1-54a1-91d4-63e4b15b8a4e"", ""inverseOntologyProperty"": """"}]",Architect,40a09546-efe8-5c4f-b218-d2dcf7de08b0,https://n2t.net/ark:/15052/f484e675-1786-41d2-9856-b2353100455a,Brabant Cloud ARK Identifier,Jan Stuyt,J. Stuyt,https://www.wikidata.org/entity/Q2186472,Wikidata
023cf90e-d3ff-5bc9-8fb6-c47303f1de60,architects,5,"[{""resourceId"": ""4a414cff-488f-5efa-8111-277ef7c6e96b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""dec1542e-6ec1-540a-be98-72b9ca66fb77"", ""inverseOntologyProperty"": """"}]",Architect,4a414cff-488f-5efa-8111-277ef7c6e96b,https://n2t.net/ark:/15052/eed2c971-3f92-4325-9e18-32ad57a2a967,Brabant Cloud ARK Identifier,Th.J. Klompers,,,
30e5e574-4d58-5fe5-93f1-a732a1f524e3,architects,5,"[{""resourceId"": ""a4459650-1cb6-505f-ae92-c8509bd4aa84"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ab8b77b5-f438-5adc-b040-93b9289cb5b3"", ""inverseOntologyProperty"": """"}]",Architect,a4459650-1cb6-505f-ae92-c8509bd4aa84,https://n2t.net/ark:/15052/d42d907c-4c31-4d3c-be84-e473dd401e41,Brabant Cloud ARK Identifier,Cornelis van Hoof,"['Cees van Hoof', 'Cornelis Franciscus van Hoof', 'C.F. van Hoof']",https://www.wikidata.org/entity/Q2674254,Wikidata
