ResourceID,card,card_order,rights_type,language,resource_id,identifier_content,identifier_type,name_content,name_content_type,name_content_language,language_type,other_identifier_content,other_identifier_type,destruction_timespan_start,in_use_timespan_start,has_part,building_status,previous_building
438c7a88-23ce-5a69-bd74-40aac3237acf,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/f3efbe30-c39d-4e60-a205-4cec8de0b0f5,https://n2t.net/ark:/15052/f3efbe30-c39d-4e60-a205-4cec8de0b0f5,Brabant Cloud ARK Identifier,Broederhuis Sint-Aloysiushuis,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3631,Wikibase,20e eeuw,1985,,,
7187b2f9-cc41-57d7-bd4a-f2ed03503d8b,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/3ebbfe12-ed63-418f-8fa2-47914fc66b6e,https://n2t.net/ark:/15052/3ebbfe12-ed63-418f-8fa2-47914fc66b6e,Brabant Cloud ARK Identifier,Sint-Franciscusconvent,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3632,Wikibase,,1993,,,
94421e70-bfd9-5e3f-aa1b-eca9367ae4be,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/df4c1cd8-6b57-49ac-927c-2c4fbe75a1a7,https://n2t.net/ark:/15052/df4c1cd8-6b57-49ac-927c-2c4fbe75a1a7,Brabant Cloud ARK Identifier,Jongenshuis Ter Eik,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3633,Wikibase,,15-10-1964,,Rijksmonument,
8f301e6b-3b27-500b-a1d6-ab4f758ca6d9,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/7946e36f-1cd0-4079-b5ee-cf3041ccfcff,https://n2t.net/ark:/15052/7946e36f-1cd0-4079-b5ee-cf3041ccfcff,Brabant Cloud ARK Identifier,Klooster bij Kindertehuis Sint-Jozef,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3634,Wikibase,1975,1948,,,
f86cc0ba-9051-50aa-a807-68dccebdea9f,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/2182e08b-2390-4ba8-813c-2162da63b983,https://n2t.net/ark:/15052/2182e08b-2390-4ba8-813c-2162da63b983,Brabant Cloud ARK Identifier,Klooster Heilige Paulus van het Kruis,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3635,Wikibase,1971,31-7-1968,,,
acee27e9-d96d-5964-b35a-63005638683f,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/2a2f9750-3b3a-45c3-9e67-5849312f0ee8,https://n2t.net/ark:/15052/2a2f9750-3b3a-45c3-9e67-5849312f0ee8,Brabant Cloud ARK Identifier,Klooster Koningshof,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3636,Wikibase,,1979,,,
3feda9a5-6f90-5d76-97d8-b59031d6a52a,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/e5027686-068e-4da1-b6b4-371ea7bef633,https://n2t.net/ark:/15052/e5027686-068e-4da1-b6b4-371ea7bef633,Brabant Cloud ARK Identifier,Huize Loyola,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3638,Wikibase,1979,1966,,,
5922b0eb-d04d-541e-b2b2-ebce274c800e,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/5be8a84e-5ffe-45f1-b789-80b7df404f14,https://n2t.net/ark:/15052/5be8a84e-5ffe-45f1-b789-80b7df404f14,Brabant Cloud ARK Identifier,Huize Theresia,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3640,Wikibase,,6-2008,,,
70490a71-eefc-594a-9cbc-2f5647b59246,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/37599fe5-260c-482e-b9c8-45f0cbc47a15,https://n2t.net/ark:/15052/37599fe5-260c-482e-b9c8-45f0cbc47a15,Brabant Cloud ARK Identifier,Klooster Alix le Clerc,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3641,Wikibase,,1996,,,
7076cd90-29f9-561a-8b03-1d77643dd639,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/e4590946-e54a-44d0-aa85-18f92eb2117f,https://n2t.net/ark:/15052/e4590946-e54a-44d0-aa85-18f92eb2117f,Brabant Cloud ARK Identifier,Klooster in Villa Eikenheuvel,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3642,Wikibase,1989,1904,,Rijksmonument,
c82a0d13-92ff-5680-9466-fc15cdb2f159,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/23d4ae98-db08-412f-987b-8c3f2a5edf21,https://n2t.net/ark:/15052/23d4ae98-db08-412f-987b-8c3f2a5edf21,Brabant Cloud ARK Identifier,Klooster Sint-Lidwina,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3643,Wikibase,,3-1987,,,
14aa50aa-d266-57f5-917e-9084ed565167,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/1a0bde69-8404-4b06-be3b-de461e25ad73,https://n2t.net/ark:/15052/1a0bde69-8404-4b06-be3b-de461e25ad73,Brabant Cloud ARK Identifier,Kloosters in huize Roucouleur,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3644,Wikibase,,1969,,Rijksmonument,
1e3ab0a8-2bbf-5ccc-b0e4-31c177fcea6e,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/60dc5a9f-f7c2-4af1-a52d-2a59657e56cf,https://n2t.net/ark:/15052/60dc5a9f-f7c2-4af1-a52d-2a59657e56cf,Brabant Cloud ARK Identifier,Klooster Regina Coeli,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3646,Wikibase,1997,1971,,,
