ResourceID,card,card_order,image_identifier_content,image_identifier_type,image_other_identifier_content,image_other_identifier_type,image_name_content,image_name_content_type,image_name_content_language,image_right_type,image_url
0ef0988e-b105-5cb1-a515-5c8aa88406ad,image,11,https://n2t.net/ark:/15052/acb717bb-63ac-47c6-bae3-1216831ce5e6,Brabant Cloud ARK Identifier,http://gebouwen.brabantcloud.nl/entity/Q1474,Wikibase,Cuijk - Grotestraat 66,Primary,Nederlands,CC BY-SA,https://upload.wikimedia.org/wikipedia/commons/f/f0/Cuijk_-_Grotestraat_66.jpg
6f6d7fbe-d6b3-54e1-8871-5a1d3c81d7ca,image,11,https://n2t.net/ark:/15052/c9db888e-628a-4f60-99f3-990699f1d000,Brabant Cloud ARK Identifier,http://gebouwen.brabantcloud.nl/entity/Q1529,Wikibase,Zeilberg 517766 St. Willibrordus Blasiusstraat4,Primary,Nederlands,CC BY-SA,https://upload.wikimedia.org/wikipedia/commons/6/6e/Zeilberg_517766_St._Willibrordus_Blasiusstraat4.jpg
f1fae857-ba4b-53e6-83df-a51b47f598e1,image,11,https://n2t.net/ark:/15052/b14faea0-0212-40fa-9e84-ab4ce0c6f3df,Brabant Cloud ARK Identifier,http://gebouwen.brabantcloud.nl/entity/Q1528,Wikibase,Vincentiushuis,Primary,Nederlands,CC BY-SA,https://upload.wikimedia.org/wikipedia/commons/f/fe/Vincentiushuis.jpg
5abfc21c-44da-5a56-b35d-969fcf6af961,image,11,https://n2t.net/ark:/15052/e28bafd2-93aa-41b1-9c36-cec4ba0fc20e,Brabant Cloud ARK Identifier,http://gebouwen.brabantcloud.nl/entity/Q1627,Wikibase,Handel Rijksmonument 16060 Capucijnenklooster zuidzijde,Primary,Nederlands,CC0,https://upload.wikimedia.org/wikipedia/commons/b/b6/Handel_Rijksmonument_16060_Capucijnenklooster_zuidzijde.JPG
4df91712-2a25-5f62-b6e6-6fa868f63b68,image,11,https://n2t.net/ark:/15052/6a7f84b2-70ab-400a-925e-2bda44f63795,Brabant Cloud ARK Identifier,http://gebouwen.brabantcloud.nl/entity/Q1962,Wikibase,521078-KloosterCapucijnen,Primary,Nederlands,CC BY-SA,https://upload.wikimedia.org/wikipedia/commons/d/db/521078-KloosterCapucijnen.JPG
17ead4a4-8701-58d5-abf2-bbf096f9a87f,image,11,https://n2t.net/ark:/15052/ad9c1354-d8de-480d-bc3f-8c752df8caa3,Brabant Cloud ARK Identifier,http://gebouwen.brabantcloud.nl/entity/Q1613,Wikibase,Stationsstraat 21 Geldrop Klooster Sint-Antoniushuis,Primary,Nederlands,CC BY-SA,https://upload.wikimedia.org/wikipedia/commons/9/9b/Stationsstraat_21_Geldrop_Klooster_Sint-Antoniushuis.jpg
926d6c6a-498a-582c-a9a9-0f3329341954,image,11,https://n2t.net/ark:/15052/135a88c1-8d7f-43d7-9bb7-fd7b504ccab2,Brabant Cloud ARK Identifier,http://gebouwen.brabantcloud.nl/entity/Q1806,Wikibase,"Ravenstein, le sauvegarde sur l'église",Primary,Nederlands,CC0,https://upload.wikimedia.org/wikipedia/commons/7/7a/Ravenstein%2C_le_sauvegarde_sur_l%27%C3%A9glise.JPG
926d6c6a-498a-582c-a9a9-0f3329341954,image,11,https://n2t.net/ark:/15052/37ad502f-61c7-4071-9f01-1ca7175a134f,Brabant Cloud ARK Identifier,http://gebouwen.brabantcloud.nl/entity/Q1805,Wikibase,"Ravenstein, l'église Ste Lucia",Primary,Nederlands,CC0,https://upload.wikimedia.org/wikipedia/commons/e/ec/Ravenstein%2C_l%27%C3%A9glise_Ste_Lucia.JPG
926d6c6a-498a-582c-a9a9-0f3329341954,image,11,https://n2t.net/ark:/15052/7f8cff42-c7dd-4946-9aca-8cc6d6e2ea86,Brabant Cloud ARK Identifier,http://gebouwen.brabantcloud.nl/entity/Q2256,Wikibase,Overzicht noordwestgevel - Ravenstein - 20348503 - RCE,Primary,Nederlands,CC BY-SA,https://upload.wikimedia.org/wikipedia/commons/4/47/Overzicht_noordwestgevel_-_Ravenstein_-_20348503_-_RCE.jpg
80918dc4-c839-5046-b7e8-3d9f9e6d7ee8,image,11,https://n2t.net/ark:/15052/5c97558c-4d05-404b-9e33-8334c90f4752,Brabant Cloud ARK Identifier,http://gebouwen.brabantcloud.nl/entity/Q1656,Wikibase,Velp (NB) Rijksmonument 514138 Mariëndaal (De Binckhof) hoofdgebouw toren,Primary,Nederlands,CC0,https://upload.wikimedia.org/wikipedia/commons/0/05/Velp_%28NB%29_Rijksmonument_514138_Mari%C3%ABndaal_%28De_Binckhof%29_hoofdgebouw_toren.jpg
