ResourceID,card,card_order,dedication_activity_actor,dedication_activity_actor_role,resource_id,identifier_content,identifier_type,name,alt_names,other_identifier_content,other_identifier_type
931c6ee0-5309-5863-b372-ee3de6e51542,dedications,6,"[{""resourceId"": ""383a2150-384c-5d89-b3fa-5b8605df1446"", ""ontologyProperty"": """", ""resourceXresourceId"": ""50fc75e8-df59-550e-89ac-6166f7c5cb25"", ""inverseOntologyProperty"": """"}]",Dedicated to,383a2150-384c-5d89-b3fa-5b8605df1446,https://n2t.net/ark:/15052/47c3a6de-d78a-41ee-8856-18b9681854f9,Brabant Cloud ARK Identifier,Nicolaas van Myra,"['Nicolaas van Bari', 'Nicolaas van Patara', 'Nicolaas', 'Sint-Nikolaas', 'Sint-Niklaas', 'Sint-Nicolaas van Myra', 'Sint-Nicolaas']",https://www.wikidata.org/entity/Q44269,Wikidata
b320c3b5-a235-5908-b2f2-5c5a9e56e63e,dedications,6,"[{""resourceId"": ""f03c34d8-e049-5e49-a894-2c324474a080"", ""ontologyProperty"": """", ""resourceXresourceId"": ""4c616f32-d40a-555e-ac20-9fb1a8b99848"", ""inverseOntologyProperty"": """"}]",Dedicated to,f03c34d8-e049-5e49-a894-2c324474a080,https://n2t.net/ark:/15052/0301ec15-5506-448c-bf2d-d8039da6ab50,Brabant Cloud ARK Identifier,Willem van Maleval,"['Willem de Grote', 'Willem de Kluizenaar']",https://www.wikidata.org/entity/Q119512,Wikidata
a962c373-c37f-5980-b050-9d7a45dcc0d4,dedications,6,"[{""resourceId"": ""c6cfccd9-ad7f-5393-93b8-49b20ef43539"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1e4a9bcf-da47-57d9-b651-42fd2a976238"", ""inverseOntologyProperty"": """"}]",Dedicated to,c6cfccd9-ad7f-5393-93b8-49b20ef43539,https://n2t.net/ark:/15052/3a739103-c273-47a1-9f8c-224d397fe0fa,Brabant Cloud ARK Identifier,Lambertus van Maastricht,"['Lambert', 'Lambertus van Luik', 'Lambrecht', 'Landebertus', 'Sint-Lambertus']",https://www.wikidata.org/entity/Q283447,Wikidata
a962c373-c37f-5980-b050-9d7a45dcc0d4,dedications,6,"[{""resourceId"": ""c312a6ac-3bed-5a5e-a5a0-08f61125a695"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8514b95d-f0e6-5467-bf8c-d18b6cd5c6e4"", ""inverseOntologyProperty"": """"}]",Dedicated to,c312a6ac-3bed-5a5e-a5a0-08f61125a695,https://n2t.net/ark:/15052/3a739103-c273-47a1-9f8c-224d397fe0fa,Brabant Cloud ARK Identifier,Eligius van Noyon,Eligius,https://www.wikidata.org/entity/Q360798,Wikidata
b50c1a4f-f0a7-5c5c-b277-17178a4248cc,dedications,6,"[{""resourceId"": ""529d4798-3197-5a29-bd23-6331cdddba9a"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e9e5dbdd-b9c8-52b9-b709-a8f167658635"", ""inverseOntologyProperty"": """"}]",Dedicated to,529d4798-3197-5a29-bd23-6331cdddba9a,https://n2t.net/ark:/15052/4b5a80fa-77b7-4d97-a033-d629ccb3b51a,Brabant Cloud ARK Identifier,Willibrord,"['H. Willibrord', 'St.-Willibrordus', 'St.-Willibrord', 'Willibrordus van Utrecht', 'Sint Willibrordus', 'St. Willibrord', 'Sint Willibrord', 'Clemens Willibrord', 'Heilige Willibrord', 'Heilige Willibrordus', 'Sint-Willibrord', 'Willibrordus', 'H. Willibrordus', 'St. Willibrordus', 'Sint-Willibrordus']",https://www.wikidata.org/entity/Q160714,Wikidata
f57f48e8-74c4-53b3-b5be-7ba8394bf481,dedications,6,"[{""resourceId"": ""b90766b5-160f-5fd5-9081-d2a339c7c3e7"", ""ontologyProperty"": """", ""resourceXresourceId"": ""9791c2dc-91d3-51ae-abfb-726f44d836fb"", ""inverseOntologyProperty"": """"}]",Dedicated to,b90766b5-160f-5fd5-9081-d2a339c7c3e7,https://n2t.net/ark:/15052/e849e4f1-fdd0-47f2-81d6-dc8c7b7a0263,Brabant Cloud ARK Identifier,Remigius van Reims,"['St. Remigius', 'Sint Remigius', 'Sint-Remigius']",https://www.wikidata.org/entity/Q367208,Wikidata
93eb1c89-4a6e-5d13-b18b-a50dd4211d71,dedications,6,"[{""resourceId"": ""026ad0b1-a161-5832-9ba1-aafe7f9dfcd7"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1f8010f1-612e-50d4-bf5b-d9959f4b6156"", ""inverseOntologyProperty"": """"}]",Dedicated to,026ad0b1-a161-5832-9ba1-aafe7f9dfcd7,https://n2t.net/ark:/15052/e65bd3aa-454e-45ec-850e-3528e5d02499,Brabant Cloud ARK Identifier,Hubertus van Luik,"['Hubertus', 'Sint Hubertus', 'Sint-Hubertus', 'St. Hubertus', 'Huibrecht']",https://www.wikidata.org/entity/Q159834,Wikidata
93eb1c89-4a6e-5d13-b18b-a50dd4211d71,dedications,6,"[{""resourceId"": ""08907c36-7770-5c5b-b105-4871215efa7f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""6bebec64-9c5c-5b20-9ee6-466103e47193"", ""inverseOntologyProperty"": """"}]",Dedicated to,08907c36-7770-5c5b-b105-4871215efa7f,https://n2t.net/ark:/15052/e65bd3aa-454e-45ec-850e-3528e5d02499,Brabant Cloud ARK Identifier,Sebastiaan,"['Sint Sebastiaan', 'Sint Sebastianus', 'St. Sebastiaan', 'St.-Sebastiaan', 'St.-Sebastianus', 'Sint-Sebastianus', 'Sint-Sebastiaan', 'St. Sebastianus']",https://www.wikidata.org/entity/Q183332,Wikidata
ff215ded-6dcd-56cc-8722-0b6e585d5ac3,dedications,6,"[{""resourceId"": ""429dd5c1-98f5-5790-bf23-1dd9d2a77059"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1bfd9f00-120a-51c9-9209-4be3cd4bad95"", ""inverseOntologyProperty"": """"}]",Dedicated to,429dd5c1-98f5-5790-bf23-1dd9d2a77059,https://n2t.net/ark:/15052/e639a40a-0cea-4a1e-992a-b8225f9da201,Brabant Cloud ARK Identifier,Laurentius van Rome,"['Sint-Laurentius', 'Sint-Laurens']",https://www.wikidata.org/entity/Q17590,Wikidata
d6910a89-5434-5ec1-a4a8-cf320e9226d3,dedications,6,"[{""resourceId"": ""c32d53b9-126b-5222-a4c6-5fd18bc7eca1"", ""ontologyProperty"": """", ""resourceXresourceId"": ""59af1bcd-00d4-5719-9a9d-90b028988f3a"", ""inverseOntologyProperty"": """"}]",Dedicated to,c32d53b9-126b-5222-a4c6-5fd18bc7eca1,https://n2t.net/ark:/15052/e58ffeb6-87ee-4219-ba44-c70c26f1ed4d,Brabant Cloud ARK Identifier,Vincentius Madelgarius,"['Sint Vincentius', 'Madelgarius', 'Maldegarius', 'Sint-Vincentius', 'St. Vincentius']",https://www.wikidata.org/entity/Q2462614,Wikidata
