ResourceID,card,card_order,other_identifier_content,other_identifier_type
788c3f44-11e7-5554-a868-0c77d230fb7c,other_identifiers,2,https://www.deurnewiki.nl/wiki/index.php?title=Sint-Jozefklooster_(Sint-Jozefparochie),regioWiki
6feb610c-5429-524c-906d-abb5c7aecee3,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3005,Wikibase
7ab669f4-6626-5df6-8a9d-c5d39f76c941,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3006,Wikibase
7ab669f4-6626-5df6-8a9d-c5d39f76c941,other_identifiers,2,https://data.brabantcloud.nl/mip-gallery/brabantcloud_mip_zb094-000121,MIP
f5ecdb86-59ee-564c-944c-70c08df2dccb,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3007,Wikibase
7b4c84b1-2a4d-5271-87ff-7dfd4f8ed915,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3008,Wikibase
7b4c84b1-2a4d-5271-87ff-7dfd4f8ed915,other_identifiers,2,https://data.brabantcloud.nl/mip-gallery/brabantcloud_mip_bp004-001879,MIP
79d173c0-e0e7-5da4-a64c-48643cdd3387,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3009,Wikibase
661c4764-f686-5f24-bf5a-90ecd79e6b9f,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3010,Wikibase
33ea0f4f-61dc-54e1-b7a3-04b19388eb2b,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3011,Wikibase
a763afeb-1f19-54a9-a80a-5c7117aad34a,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3012,Wikibase
a763afeb-1f19-54a9-a80a-5c7117aad34a,other_identifiers,2,https://roosendaal.nl/file/2175/download,RCE Monuments
a763afeb-1f19-54a9-a80a-5c7117aad34a,other_identifiers,2,https://data.brabantcloud.nl/mip-gallery/brabantcloud_mip_zb094-000144,MIP
86a4478d-ae19-5e32-be07-93b184b3eb31,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3013,Wikibase
b283fae0-960b-5fb1-b590-7761c15c4b1c,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3014,Wikibase
b283fae0-960b-5fb1-b590-7761c15c4b1c,other_identifiers,2,https://monumentenregister.cultureelerfgoed.nl/monumenten/516716,RCE Monuments
b283fae0-960b-5fb1-b590-7761c15c4b1c,other_identifiers,2,https://data.brabantcloud.nl/mip-gallery/brabantcloud_mip_bp004-001887,MIP
833ff3c7-0eee-5c9c-a7e6-c4f82214272e,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3015,Wikibase
833ff3c7-0eee-5c9c-a7e6-c4f82214272e,other_identifiers,2,https://monumentenregister.cultureelerfgoed.nl/monumenten/516715,RCE Monuments
833ff3c7-0eee-5c9c-a7e6-c4f82214272e,other_identifiers,2,https://data.brabantcloud.nl/mip-gallery/brabantcloud_mip_bp004-001873,MIP
04e13232-3bba-5f58-afb8-a5e5714c56fe,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3017,Wikibase
55aeb5be-eb37-5826-b79e-4bcf8aea2ebf,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3018,Wikibase
30166cdb-4bf5-57f9-bd79-102ec88f9ead,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3019,Wikibase
2e8623c5-2195-597d-bab6-44229b9a9ad0,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3020,Wikibase
2e8623c5-2195-597d-bab6-44229b9a9ad0,other_identifiers,2,https://data.brabantcloud.nl/mip-gallery/brabantcloud_mip_zb005-003987,MIP
67ac1ba1-e38a-5a4f-8faa-7580179e7542,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3021,Wikibase
89b3e404-2815-5e9c-9c3f-aedfe43d2a73,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3022,Wikibase
bf805dd7-0bcf-5b41-9d69-0103f45730c5,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3023,Wikibase
bf805dd7-0bcf-5b41-9d69-0103f45730c5,other_identifiers,2,https://data.brabantcloud.nl/mip-gallery/brabantcloud_mip_zb005-003742,MIP
8b61594e-e3e8-599b-8ace-a25c80f21c1d,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3024,Wikibase
5f4db804-08b2-5260-b49a-c8737d99fafa,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3025,Wikibase
8f71b74d-e27a-560f-9af4-af4bbcd564e1,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3026,Wikibase
8f156433-af36-59fc-81e6-0cc4f2188fb0,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3028,Wikibase
37908230-ffe2-5054-a910-743baf57896c,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3029,Wikibase
