ResourceID,card,card_order,alternative_name_content,alternative_name_content_type,alternative_name_content_language
094523dd-fd0c-5e96-92e7-2b5a46e75653,alternate_names,2,Huize Bartholomeus,Alternative,Nederlands
094523dd-fd0c-5e96-92e7-2b5a46e75653,alternate_names,2,Klooster H. Bartholomeus,Alternative,Nederlands
094523dd-fd0c-5e96-92e7-2b5a46e75653,alternate_names,2,Heilige Bartholomeus,Alternative,Nederlands
094523dd-fd0c-5e96-92e7-2b5a46e75653,alternate_names,2,H. Bartholomeus,Alternative,Nederlands
67cad17e-efdd-5c5b-bff6-9ed6529560db,alternate_names,2,Sint Willibrordusklooster,Alternative,Nederlands
67cad17e-efdd-5c5b-bff6-9ed6529560db,alternate_names,2,Sint Willibrordusgesticht,Alternative,Nederlands
67cad17e-efdd-5c5b-bff6-9ed6529560db,alternate_names,2,Sint-Willibrordusgesticht,Alternative,Nederlands
67cad17e-efdd-5c5b-bff6-9ed6529560db,alternate_names,2,St. Willibrordusgesticht,Alternative,Nederlands
67cad17e-efdd-5c5b-bff6-9ed6529560db,alternate_names,2,St. Willibrordusklooster,Alternative,Nederlands
fde4a66b-6f88-58b4-9ef4-f408a1b92576,alternate_names,2,Sint Jozefklooster,Alternative,Nederlands
fde4a66b-6f88-58b4-9ef4-f408a1b92576,alternate_names,2,St. Jozefklooster,Alternative,Nederlands
3b6a30cb-2199-5cff-bc27-d276c2d08af8,alternate_names,2,Sint Jozefklooster,Alternative,Nederlands
788c3f44-11e7-5554-a868-0c77d230fb7c,alternate_names,2,Sint Jozefklooster,Alternative,Nederlands
788c3f44-11e7-5554-a868-0c77d230fb7c,alternate_names,2,St. Jozefklooster,Alternative,Nederlands
6feb610c-5429-524c-906d-abb5c7aecee3,alternate_names,2,Sint Joseph,Alternative,Nederlands
6feb610c-5429-524c-906d-abb5c7aecee3,alternate_names,2,Sint Jozef,Alternative,Nederlands
6feb610c-5429-524c-906d-abb5c7aecee3,alternate_names,2,St. Jozefklooster,Alternative,Nederlands
6feb610c-5429-524c-906d-abb5c7aecee3,alternate_names,2,St.-Jozefklooster,Alternative,Nederlands
6feb610c-5429-524c-906d-abb5c7aecee3,alternate_names,2,Sint Josephklooster,Alternative,Nederlands
6feb610c-5429-524c-906d-abb5c7aecee3,alternate_names,2,Sint-Josephklooster,Alternative,Nederlands
6feb610c-5429-524c-906d-abb5c7aecee3,alternate_names,2,St. Josephklooster,Alternative,Nederlands
6feb610c-5429-524c-906d-abb5c7aecee3,alternate_names,2,St.-Josephklooster,Alternative,Nederlands
6feb610c-5429-524c-906d-abb5c7aecee3,alternate_names,2,Sint Jozefklooster,Alternative,Nederlands
7ab669f4-6626-5df6-8a9d-c5d39f76c941,alternate_names,2,Sint Jozefklooster,Alternative,Nederlands
7ab669f4-6626-5df6-8a9d-c5d39f76c941,alternate_names,2,Sint Jozefgesticht,Alternative,Nederlands
7ab669f4-6626-5df6-8a9d-c5d39f76c941,alternate_names,2,Klooster Nazareth,Alternative,Nederlands
7ab669f4-6626-5df6-8a9d-c5d39f76c941,alternate_names,2,St. Jozefgesticht,Alternative,Nederlands
7ab669f4-6626-5df6-8a9d-c5d39f76c941,alternate_names,2,Sint-Jozefklooster,Alternative,Nederlands
7ab669f4-6626-5df6-8a9d-c5d39f76c941,alternate_names,2,St. Jozefklooster,Alternative,Nederlands
f5ecdb86-59ee-564c-944c-70c08df2dccb,alternate_names,2,Klooster en school Heilige Hart in Riel,Alternative,Nederlands
7b4c84b1-2a4d-5271-87ff-7dfd4f8ed915,alternate_names,2,H. Hartklooster,Alternative,Nederlands
7b4c84b1-2a4d-5271-87ff-7dfd4f8ed915,alternate_names,2,Heilig Hart Klooster,Alternative,Nederlands
7b4c84b1-2a4d-5271-87ff-7dfd4f8ed915,alternate_names,2,Klooster Heilig Hart,Alternative,Nederlands
7b4c84b1-2a4d-5271-87ff-7dfd4f8ed915,alternate_names,2,Klooster H. Hart,Alternative,Nederlands
79d173c0-e0e7-5da4-a64c-48643cdd3387,alternate_names,2,H. Hartklooster,Alternative,Nederlands
79d173c0-e0e7-5da4-a64c-48643cdd3387,alternate_names,2,H. Hart klooster,Alternative,Nederlands
79d173c0-e0e7-5da4-a64c-48643cdd3387,alternate_names,2,Heilig Hart klooster,Alternative,Nederlands
661c4764-f686-5f24-bf5a-90ecd79e6b9f,alternate_names,2,H. Hartstichting,Alternative,Nederlands
