card,card_order,ResourceID,identifier_content,identifier_type,name_givenname,alt_names,resource_id,other_identifier_type,id,alternative_name_content,alternative_name_content_type,alternative_name_content_language
Actors,0,05106e0c-c382-53ff-9217-3fa6c2d21d8e,https://n2t.net/ark:/15052/d70db8c0-3cfd-4f25-a5c0-578a98ec0a68,Brabant Cloud ARK Identifier,Gerardus Majella,Sint-Gerardus Majella,https://www.wikidata.org/entity/Q562233,Wikidata,,,,
Actors,0,052002ac-47ad-5d78-abcf-738adaec629e,https://n2t.net/ark:/15052/deb3ce2e-e8ad-4ca6-bc6a-1f1d781bc3e5,Brabant Cloud ARK Identifier,L. de Vries,,,,,,,
Actors,0,05a35e16-1b3f-596a-9861-81c736278cac,https://n2t.net/ark:/15052/566a1ff8-5e3c-4949-962f-1359b2f1418b,Brabant Cloud ARK Identifier,Justinus Backx,,,,,,,
Actors,0,05a9285c-e811-5794-868c-30f0569e90b0,https://n2t.net/ark:/15052/e659a72f-ffdc-454e-91b5-a0e693693b4d,Brabant Cloud ARK Identifier,A. de Beer,,,,,,,
Actors,0,0707b621-032a-5dc8-a36b-05767ff34ddc,https://n2t.net/ark:/15052/ce29c7eb-f6cf-4db5-81d4-07e8c15ada99,Brabant Cloud ARK Identifier,Jakobus de Rechtvaardige,"['Jacobus de Rechtvaardige', 'Jakobus de Mindere', 'Jacobus', 'Broer van Jezus', 'Jakobus de Jongere', 'Jakobus Apostel Minor', 'Jacobus de Mindere', 'Jacobus Apostel Minor', 'Jacobus de Jongere', 'Jakobus']",http://www.wikidata.org/entity/Q26925,Wikidata,,,,
Alternate names,1,0707b621-032a-5dc8-a36b-05767ff34ddc,,,,,,,https://n2t.net/ark:/15052/ce29c7eb-f6cf-4db5-81d4-07e8c15ada99,Jacobus de Rechtvaardige,Alternative,Nederlands
Alternate names,1,0707b621-032a-5dc8-a36b-05767ff34ddc,,,,,,,https://n2t.net/ark:/15052/ce29c7eb-f6cf-4db5-81d4-07e8c15ada99,Jakobus de Mindere,Alternative,Nederlands
Alternate names,1,0707b621-032a-5dc8-a36b-05767ff34ddc,,,,,,,https://n2t.net/ark:/15052/ce29c7eb-f6cf-4db5-81d4-07e8c15ada99,Jacobus,Alternative,Nederlands
Alternate names,1,0707b621-032a-5dc8-a36b-05767ff34ddc,,,,,,,https://n2t.net/ark:/15052/ce29c7eb-f6cf-4db5-81d4-07e8c15ada99,Broer van Jezus,Alternative,Nederlands
Alternate names,1,0707b621-032a-5dc8-a36b-05767ff34ddc,,,,,,,https://n2t.net/ark:/15052/ce29c7eb-f6cf-4db5-81d4-07e8c15ada99,Jakobus de Jongere,Alternative,Nederlands
Alternate names,1,0707b621-032a-5dc8-a36b-05767ff34ddc,,,,,,,https://n2t.net/ark:/15052/ce29c7eb-f6cf-4db5-81d4-07e8c15ada99,Jakobus Apostel Minor,Alternative,Nederlands
Alternate names,1,0707b621-032a-5dc8-a36b-05767ff34ddc,,,,,,,https://n2t.net/ark:/15052/ce29c7eb-f6cf-4db5-81d4-07e8c15ada99,Jacobus de Mindere,Alternative,Nederlands
Alternate names,1,0707b621-032a-5dc8-a36b-05767ff34ddc,,,,,,,https://n2t.net/ark:/15052/ce29c7eb-f6cf-4db5-81d4-07e8c15ada99,Jacobus Apostel Minor,Alternative,Nederlands
Alternate names,1,0707b621-032a-5dc8-a36b-05767ff34ddc,,,,,,,https://n2t.net/ark:/15052/ce29c7eb-f6cf-4db5-81d4-07e8c15ada99,Jacobus de Jongere,Alternative,Nederlands
Alternate names,1,0707b621-032a-5dc8-a36b-05767ff34ddc,,,,,,,https://n2t.net/ark:/15052/ce29c7eb-f6cf-4db5-81d4-07e8c15ada99,Jakobus,Alternative,Nederlands
