ResourceID,card,card_order,consecration_activity_religion
c9e7c641-be32-5c10-a8a5-eaddb94a9445,organisation,2,Rooms-Katholieke Kerk
2b69233b-525a-5b62-9145-8e6326580464,organisation,2,Rooms-Katholieke Kerk
fb775f28-179f-56c6-bb6c-38d17e236dca,organisation,2,Rooms-Katholieke Kerk
e18affcc-2808-5faa-b5a8-503d686b025e,organisation,2,Rooms-Katholieke Kerk
579052de-2417-5f94-a9d9-11f5630f9144,organisation,2,Rooms-Katholieke Kerk
2a135a2e-fdbc-5f04-8ad2-d1937b1a77f9,organisation,2,Rooms-Katholieke Kerk
19485b13-759f-5e8a-8792-69a8ffb74916,organisation,2,Rooms-Katholieke Kerk
8d5230cd-3a15-52c6-b3be-30fe0c63623c,organisation,2,Rooms-Katholieke Kerk
ec772540-78ff-5ea7-89d0-5772bdcae934,organisation,2,Rooms-Katholieke Kerk
940bb9d3-f2d3-549e-be91-0f11c4029ef3,organisation,2,Rooms-Katholieke Kerk
9f4faaff-4ebf-5dde-960f-63e2c1a59729,organisation,2,Rooms-Katholieke Kerk
fe1acf11-c5c7-57b1-a3b5-62b49b66dca2,organisation,2,Rooms-Katholieke Kerk
76982d65-6b00-5071-a71c-ead87e845b62,organisation,2,Rooms-Katholieke Kerk
1152b1c5-4030-5574-9115-38caacdde06d,organisation,2,Rooms-Katholieke Kerk
6f739e83-47e7-571f-8724-26a83cd41412,organisation,2,Rooms-Katholieke Kerk
80ddcc02-13a5-542b-803d-816262967447,organisation,2,Rooms-Katholieke Kerk
edeccf81-5d87-5967-bb3c-8b97dcfd7b9d,organisation,2,Rooms-Katholieke Kerk
fceee46c-676e-5788-97c5-181980427299,organisation,2,Rooms-Katholieke Kerk
dc071ed5-accd-540d-abfd-88a0b596792c,organisation,2,Rooms-Katholieke Kerk
113eca4e-5254-5ded-b4a7-2ed79ccdeaf6,organisation,2,Rooms-Katholieke Kerk
72312b03-0eb6-5c91-870a-088544e7d233,organisation,2,Rooms-Katholieke Kerk
572ba81c-fcc6-534f-b6e2-9ac9865100bc,organisation,2,Rooms-Katholieke Kerk
0bdbcc03-1b61-5dff-877e-392c02544ad3,organisation,2,Rooms-Katholieke Kerk
0c653b3b-d32f-5aa7-89a3-dd3beeb4da02,organisation,2,Rooms-Katholieke Kerk
3742e525-c3e4-5a87-8d8b-464d7bf44e5c,organisation,2,Rooms-Katholieke Kerk
c5361ee9-3468-5598-92b1-4cb58f6c8202,organisation,2,Rooms-Katholieke Kerk
d8988f68-30ac-5509-8f60-2f053ac8e897,organisation,2,Rooms-Katholieke Kerk
e0422d6a-044a-5781-8403-5d94d0440ec3,organisation,2,Rooms-Katholieke Kerk
ad20574f-db3a-512c-8dcb-32592b969858,organisation,2,Rooms-Katholieke Kerk
e0121842-6478-5073-8794-975c3ea8931b,organisation,2,Rooms-Katholieke Kerk
d32b7d8f-304b-540c-bd87-3c8a4ff6daf0,organisation,2,Rooms-Katholieke Kerk
4368dd63-86fe-58ee-9d7b-9f3699e5c74d,organisation,2,Rooms-Katholieke Kerk
fc000ad1-2a8a-5a56-8e0b-dcee870eb876,organisation,2,Rooms-Katholieke Kerk
607ab3ab-af02-583d-a43c-50037305a8be,organisation,2,Rooms-Katholieke Kerk
3bc0171c-7dcd-556a-afe6-2b1e9e46ff3d,organisation,2,Rooms-Katholieke Kerk
61d9cb85-ed7b-54ab-8639-a781f75020b6,organisation,2,Rooms-Katholieke Kerk
d00643e4-f44a-5a0d-91a6-1c178ed3fff3,organisation,2,Rooms-Katholieke Kerk
73e9439e-870b-595b-a6c4-2e778e8d41a1,organisation,2,Rooms-Katholieke Kerk
a370a484-38ce-5cda-860e-4c6cc3503225,organisation,2,Rooms-Katholieke Kerk
c1627ac7-bdfe-534e-8991-84dc80b17b9e,organisation,2,Rooms-Katholieke Kerk
f580b08a-757d-564a-8371-c4afc412bce5,organisation,2,Rooms-Katholieke Kerk
b970177b-9656-5f1e-a1d5-e3f6425c1353,organisation,2,Rooms-Katholieke Kerk
9517dabd-5ea1-565d-b947-4c468a6ecf2f,organisation,2,Rooms-Katholieke Kerk
ebbf95b5-4e77-5eda-afed-377a4db77308,organisation,2,Rooms-Katholieke Kerk
99b33c54-1eb8-5301-aafb-4b70d9ca6b8f,organisation,2,Rooms-Katholieke Kerk
b90689eb-4562-513a-9cd5-7b480db1027a,organisation,2,Rooms-Katholieke Kerk
ad73bed5-1b59-5b42-9d8f-c5e66a849bd7,organisation,2,Rooms-Katholieke Kerk
f84d6001-badf-5454-aed0-91b9b31866d0,organisation,2,Rooms-Katholieke Kerk
6397f10b-41a8-5a77-b8a1-d7b4dfb36fe1,organisation,2,Rooms-Katholieke Kerk
3c9041e5-3a6c-5ada-82b7-231f5b4b4729,organisation,2,Rooms-Katholieke Kerk
e3bff2ed-4bd4-5de1-9c10-8361793ae866,organisation,2,Rooms-Katholieke Kerk
598a4fa3-e04d-5b14-ac65-bc7ef4d0761d,organisation,2,Rooms-Katholieke Kerk
f6dacb1a-9e17-50b1-b6df-57e0119b9403,organisation,2,Rooms-Katholieke Kerk
cfae1fba-c70f-5984-a420-c7b1a87ab3dd,organisation,2,Rooms-Katholieke Kerk
b4e0c715-0f19-53ab-9594-963d3ef6138f,organisation,2,Rooms-Katholieke Kerk
6ac5a13f-3d4c-5405-a9c5-686700ea4fc7,organisation,2,Rooms-Katholieke Kerk
630f2504-2d9f-534d-a5c3-78aa57e45385,organisation,2,Rooms-Katholieke Kerk
4bfad45b-d24c-516e-9f63-c91dd2f3e862,organisation,2,Rooms-Katholieke Kerk
484d911d-8642-591b-9d3a-1a45c6c8af70,organisation,2,Rooms-Katholieke Kerk
8bfc8250-8a12-5d6d-a560-e4c5c258da7a,organisation,2,Rooms-Katholieke Kerk
2b72ba2d-b1d9-5463-b3cd-558bdb834b7f,organisation,2,Rooms-Katholieke Kerk
cb41a9da-e65e-5fd2-8e99-74e27787ac07,organisation,2,Rooms-Katholieke Kerk
3ca501de-2563-554e-9fa3-b33dbe96d341,organisation,2,Rooms-Katholieke Kerk
6ab14e1f-17fb-5784-9e48-edaf19f317bd,organisation,2,Rooms-Katholieke Kerk
8f14e24b-3c74-575a-b885-99934b405f4b,organisation,2,Rooms-Katholieke Kerk
41bf7329-883e-5d31-842f-930ee7995be6,organisation,2,Rooms-Katholieke Kerk
36725271-20bf-5690-93fd-09c90e51ef75,organisation,2,Rooms-Katholieke Kerk
a6570771-7b88-5546-aece-8b7e3c559ee0,organisation,2,Rooms-Katholieke Kerk
a63b7242-184a-56ac-8000-a54d47e62cda,organisation,2,Rooms-Katholieke Kerk
00048b7e-12e0-59c0-bc5f-ab3262f8480f,organisation,2,Rooms-Katholieke Kerk
509f3a9b-b564-50f6-978a-d9197729d347,organisation,2,Rooms-Katholieke Kerk
92f5e4d2-dd14-568a-895b-56702d7aa6cc,organisation,2,Rooms-Katholieke Kerk
f943e5f9-f5f8-501a-a6f2-5a2e3dac98f5,organisation,2,Rooms-Katholieke Kerk
369f8060-66d9-50c6-ba3f-c83814e44e6c,organisation,2,Rooms-Katholieke Kerk
ee7b2939-fbd6-5c30-ba34-775ba94e3fcd,organisation,2,Rooms-Katholieke Kerk
11ef7231-d42e-5fb9-8b52-a570db1addd2,organisation,2,Rooms-Katholieke Kerk
0e70823d-d977-5f5d-96c7-e035d8d78d31,organisation,2,Rooms-Katholieke Kerk
a3bfe1c3-fd20-517b-b7a2-f13a2ca293bf,organisation,2,Rooms-Katholieke Kerk
b98da018-843b-5f94-9659-82ce80c5c446,organisation,2,Rooms-Katholieke Kerk
56227d5d-5a06-5471-9163-181a20b455de,organisation,2,Rooms-Katholieke Kerk
20a68559-308b-5f7c-93fb-14cda95cda1e,organisation,2,Rooms-Katholieke Kerk
e3a9d308-1200-544e-8f22-03ce64c3ba27,organisation,2,Rooms-Katholieke Kerk
213b5071-8d21-57bc-9ea4-4cd69dd70638,organisation,2,Rooms-Katholieke Kerk
b6a5fda8-612d-5bea-a47e-163f9ec0d0df,organisation,2,Rooms-Katholieke Kerk
ce2bc44e-1d5f-55bd-863a-c04946db248c,organisation,2,Rooms-Katholieke Kerk
ec684b48-c1fe-5e7e-990a-19be09caabca,organisation,2,Rooms-Katholieke Kerk
e24701af-0ba4-5f94-9b5a-6cc2bef4e798,organisation,2,Rooms-Katholieke Kerk
ed43bb58-27a0-5dd9-bc8b-2893f8be1792,organisation,2,Rooms-Katholieke Kerk
e7dcf4c6-8378-502e-9c2a-3acc6f8169dd,organisation,2,Rooms-Katholieke Kerk
bcdd71fe-bfec-54a5-94fa-54aab940034e,organisation,2,Rooms-Katholieke Kerk
9555c4be-9dbd-51b2-b131-b24e90d03f03,organisation,2,Rooms-Katholieke Kerk
ca0c8140-6ff2-5996-9945-0a2859c6d854,organisation,2,Rooms-Katholieke Kerk
54d69203-c5ad-5650-9dee-b9ec5f961ea5,organisation,2,Rooms-Katholieke Kerk
8a65e97e-f0ae-55ee-a0e8-8147bb8cd67f,organisation,2,Rooms-Katholieke Kerk
3cd729e5-39cb-55d6-852e-bac6e31a201c,organisation,2,Rooms-Katholieke Kerk
09584e59-0a9b-55e6-9ab8-dc3e98d430e5,organisation,2,Rooms-Katholieke Kerk
b9c2dda9-fea3-5df5-97de-4c046c8d69d7,organisation,2,Rooms-Katholieke Kerk
e77262f2-91bf-5213-801a-1732868b237f,organisation,2,Rooms-Katholieke Kerk
a080542b-576f-5f6b-93eb-0d82647caf04,organisation,2,Rooms-Katholieke Kerk
2017a0d9-3659-55e7-9ad8-455b6495b05b,organisation,2,Rooms-Katholieke Kerk
eaf4b093-fa48-552a-b09c-d14d6d056dd4,organisation,2,Rooms-Katholieke Kerk
71039118-441b-5817-b2ac-e2dc57c1f345,organisation,2,Rooms-Katholieke Kerk
645a46d8-4ab9-57ef-8c38-240f6f73d78c,organisation,2,Rooms-Katholieke Kerk
a7078a12-140c-5f68-aacc-645e94bc06ce,organisation,2,Rooms-Katholieke Kerk
65c96fb7-b5db-5d5a-b7c4-7cbf82f23ce1,organisation,2,Rooms-Katholieke Kerk
8995c20e-20b0-500e-a9da-66bbf73cda2f,organisation,2,Rooms-Katholieke Kerk
f31aa746-c76f-58d1-9c75-33cd63e746f4,organisation,2,Rooms-Katholieke Kerk
e5b16f5b-b7f7-51c7-9a81-bff51f44a88e,organisation,2,Rooms-Katholieke Kerk
312503f3-eeaf-5ba3-a148-3c33a35bcb21,organisation,2,Rooms-Katholieke Kerk
be7db694-5601-5155-9655-7ac0a3ff370c,organisation,2,Rooms-Katholieke Kerk
691987fb-1d1e-53ff-8030-a1493e039e41,organisation,2,Rooms-Katholieke Kerk
bbccf2b1-1d60-58cc-93b3-7ca6b1795b70,organisation,2,Rooms-Katholieke Kerk
8f3c7f95-662a-57b0-956c-0e9edbbf91e1,organisation,2,Rooms-Katholieke Kerk
f8dd72c5-01b3-57fc-95e2-6b6e8bf2a13a,organisation,2,Rooms-Katholieke Kerk
66f34326-851f-52bb-8977-03ceda9430bb,organisation,2,Rooms-Katholieke Kerk
81896c9f-193c-5bfb-ae66-4b144fa72cf0,organisation,2,Rooms-Katholieke Kerk
d124fc3f-bf5d-5d45-a16d-793d0b307bd7,organisation,2,Rooms-Katholieke Kerk
6172feda-b201-5b7a-8241-2e50a6075a9f,organisation,2,Rooms-Katholieke Kerk
f915b850-a445-59da-b3e5-d57b6772ec5c,organisation,2,Rooms-Katholieke Kerk
0e480d49-4ba6-5088-a802-d17e5ab49556,organisation,2,Rooms-Katholieke Kerk
9f577f1f-5a13-5c86-b9fb-629f309f0c00,organisation,2,Rooms-Katholieke Kerk
52a60925-48ab-5fcf-b7f6-6627b05f74a0,organisation,2,Rooms-Katholieke Kerk
504126a4-e154-5ee7-a56d-88a29434bae4,organisation,2,Rooms-Katholieke Kerk
7debc547-a822-5d9a-84f2-d114d6675b69,organisation,2,Rooms-Katholieke Kerk
a1817340-b0ce-5a51-a571-a110a84be074,organisation,2,Rooms-Katholieke Kerk
ba8350e2-af64-523e-8923-78240384874b,organisation,2,Rooms-Katholieke Kerk
39d9acc9-e185-56da-997e-f7f819784f36,organisation,2,Rooms-Katholieke Kerk
4d174c39-ee56-548c-b030-64cdd8cfcd62,organisation,2,Rooms-Katholieke Kerk
27bba820-c704-57d1-846b-f55d3ac56803,organisation,2,Rooms-Katholieke Kerk
a5e60aea-2dcf-534b-8772-725cca05482f,organisation,2,Rooms-Katholieke Kerk
6d6ec8cb-a2ac-5abd-8131-fc20280b2e0c,organisation,2,Rooms-Katholieke Kerk
