ResourceID,card,card_order,alternative_name_content,alternative_name_type,alternative_name_language
cc183b24-1fe5-5406-b044-487c120130c3,organisation,2,Klooster H. Bartholomeus,Alternative,Nederlands
cc183b24-1fe5-5406-b044-487c120130c3,organisation,2,Heilige Bartholomeus,Alternative,Nederlands
cc183b24-1fe5-5406-b044-487c120130c3,organisation,2,H. Bartholomeus,Alternative,Nederlands
ca9460cb-7b9a-52ac-abd0-ce84a1ab69dd,organisation,2,Sint Willibrordusklooster,Alternative,Nederlands
ca9460cb-7b9a-52ac-abd0-ce84a1ab69dd,organisation,2,Sint Willibrordusgesticht,Alternative,Nederlands
ca9460cb-7b9a-52ac-abd0-ce84a1ab69dd,organisation,2,Sint-Willibrordusgesticht,Alternative,Nederlands
ca9460cb-7b9a-52ac-abd0-ce84a1ab69dd,organisation,2,St. Willibrordusgesticht,Alternative,Nederlands
ca9460cb-7b9a-52ac-abd0-ce84a1ab69dd,organisation,2,St. Willibrordusklooster,Alternative,Nederlands
9deb5b21-8443-5b19-9aee-2cb366664219,organisation,2,Sint Jozefklooster,Alternative,Nederlands
9deb5b21-8443-5b19-9aee-2cb366664219,organisation,2,St. Jozefklooster,Alternative,Nederlands
430a0b70-60ce-5f05-84d4-550c8eff096a,organisation,2,Sint Jozefklooster,Alternative,Nederlands
7e2e5ea1-4361-56f5-9a85-47e4eac4d564,organisation,2,Sint Jozefklooster,Alternative,Nederlands
7e2e5ea1-4361-56f5-9a85-47e4eac4d564,organisation,2,St. Jozefklooster,Alternative,Nederlands
da94c65a-320a-5bb8-a653-b397dfce9128,organisation,2,Sint Joseph,Alternative,Nederlands
da94c65a-320a-5bb8-a653-b397dfce9128,organisation,2,Sint Jozef,Alternative,Nederlands
da94c65a-320a-5bb8-a653-b397dfce9128,organisation,2,St. Jozefklooster,Alternative,Nederlands
da94c65a-320a-5bb8-a653-b397dfce9128,organisation,2,St.-Jozefklooster,Alternative,Nederlands
da94c65a-320a-5bb8-a653-b397dfce9128,organisation,2,Sint Josephklooster,Alternative,Nederlands
da94c65a-320a-5bb8-a653-b397dfce9128,organisation,2,Sint-Josephklooster,Alternative,Nederlands
da94c65a-320a-5bb8-a653-b397dfce9128,organisation,2,St. Josephklooster,Alternative,Nederlands
da94c65a-320a-5bb8-a653-b397dfce9128,organisation,2,St.-Josephklooster,Alternative,Nederlands
da94c65a-320a-5bb8-a653-b397dfce9128,organisation,2,Sint Jozefklooster,Alternative,Nederlands
6b8e886e-c746-5a0d-943f-2ced1df5033a,organisation,2,Sint Jozefklooster,Alternative,Nederlands
6b8e886e-c746-5a0d-943f-2ced1df5033a,organisation,2,Sint Jozefgesticht,Alternative,Nederlands
6b8e886e-c746-5a0d-943f-2ced1df5033a,organisation,2,Klooster Nazareth,Alternative,Nederlands
6b8e886e-c746-5a0d-943f-2ced1df5033a,organisation,2,St. Jozefgesticht,Alternative,Nederlands
6b8e886e-c746-5a0d-943f-2ced1df5033a,organisation,2,Sint-Jozefklooster,Alternative,Nederlands
6b8e886e-c746-5a0d-943f-2ced1df5033a,organisation,2,St. Jozefklooster,Alternative,Nederlands
b00a84a5-9dc5-5b91-b7e7-4101db08db3f,organisation,2,Klooster en school Heilige Hart in Riel,Alternative,Nederlands
09130809-a37a-5be6-b7a3-dc0911cf1256,organisation,2,H. Hartklooster,Alternative,Nederlands
09130809-a37a-5be6-b7a3-dc0911cf1256,organisation,2,Heilig Hart Klooster,Alternative,Nederlands
09130809-a37a-5be6-b7a3-dc0911cf1256,organisation,2,Klooster Heilig Hart,Alternative,Nederlands
09130809-a37a-5be6-b7a3-dc0911cf1256,organisation,2,Klooster H. Hart,Alternative,Nederlands
a156e765-6b2c-5aaa-8226-dfddce71b1bc,organisation,2,H. Hartklooster,Alternative,Nederlands
a156e765-6b2c-5aaa-8226-dfddce71b1bc,organisation,2,H. Hart klooster,Alternative,Nederlands
a156e765-6b2c-5aaa-8226-dfddce71b1bc,organisation,2,Heilig Hart klooster,Alternative,Nederlands
5fcc269d-ce15-5154-85a0-0fb0ac3c4975,organisation,2,H. Hartstichting,Alternative,Nederlands
5fcc269d-ce15-5154-85a0-0fb0ac3c4975,organisation,2,H. Hart-Stichting,Alternative,Nederlands
5fcc269d-ce15-5154-85a0-0fb0ac3c4975,organisation,2,Heilig Hartstichting,Alternative,Nederlands
5fcc269d-ce15-5154-85a0-0fb0ac3c4975,organisation,2,Heilig Hart-klooster,Alternative,Nederlands
5fcc269d-ce15-5154-85a0-0fb0ac3c4975,organisation,2,Heilig Hart-stichting,Alternative,Nederlands
5fcc269d-ce15-5154-85a0-0fb0ac3c4975,organisation,2,H. Hart-klooster,Alternative,Nederlands
5fcc269d-ce15-5154-85a0-0fb0ac3c4975,organisation,2,H. Hartklooster,Alternative,Nederlands
07e09d81-f12c-5a3c-bd91-c01d83a4ec60,organisation,2,Klooster van Meeuwen,Alternative,Nederlands
07e09d81-f12c-5a3c-bd91-c01d83a4ec60,organisation,2,Klooster Heilig Hart,Alternative,Nederlands
07e09d81-f12c-5a3c-bd91-c01d83a4ec60,organisation,2,H. Hartklooster,Alternative,Nederlands
07e09d81-f12c-5a3c-bd91-c01d83a4ec60,organisation,2,Klooster H. Hart,Alternative,Nederlands
07e09d81-f12c-5a3c-bd91-c01d83a4ec60,organisation,2,Heilig Hartklooster,Alternative,Nederlands
07e09d81-f12c-5a3c-bd91-c01d83a4ec60,organisation,2,Gesticht van Meeuwen,Alternative,Nederlands
07e09d81-f12c-5a3c-bd91-c01d83a4ec60,organisation,2,Stichting Huis van Meeuwen,Alternative,Nederlands
8dafeefc-c17e-5fcf-880a-329bcb087382,organisation,2,Het H. Hart klooster,Alternative,Nederlands
